,Unnamed: 0,from_id,id,text,miss,city,age,country,sex
0,46.0,189011791.0,1627836.0,Удачи Украине из беларуси,из беларуси,Мядель,None,Беларусь,2
1,58.0,240168622.0,1627850.0,"[id150961455|Кирилл], сорри, я думал вы из России",из России,None,20,Россия,2
2,144.0,40375074.0,1628038.0,хороший голос! удачи из России,из России,Санкт-Петербург,24,Россия,2
3,22.0,232628406.0,1628385.0,"Нравятся из Албании 2009, 2011,2012,2015",из Албании,Алматы,20,Казахстан,2
4,222.0,134298642.0,1627094.0,"[id302673669|Габриэлла], обычно так говорят люди из России и тд на старый манер ✌ мы же называем ""беларусь""",из России,Минск,None,Беларусь,1
5,272.0,228252979.0,1627148.0,"[id249517106|Ирина], [id249517106|Ирина], ок, Лена из Германии заняла с посредственной попсой 1 место, вернулась в 2011 с шикарной песней - 10 место.
Инга (Армения 2009) - 10 место, а когда вернулась в составе Genealogy - 16 место.
Эльнур из Азербайждана: 2008 - 8 место, 2015 - 12 место.",из Германии,None,None,Россия,2
6,51.0,249517106.0,1626522.0,"[id236610913|Илья], Да. Раз она из Узбекистана, она не может представить Россию? Тогда и Наргиз, которую очень хотят видеть многие на евро следующего года, тоже не должна ехать.",из Узбекистана,None,None,Украина,1
7,19.0,221336028.0,1626426.0,"[id224051114|Миша], она не из России",из России,None,None,None,1
8,29.0,247535846.0,1626461.0,"[id208921193|Галя], она не из России",из России,None,None,None,2
9,129.0,103674892.0,1625173.0,"[id240456700|Томас], в 2000 Евровидение проходило в Швеции. Победил тогда коллектив из Дании. В 2013 проходило в Швеции,победила Дания. 
Вот)",из Дании,Ярославль,None,Россия,2
10,48.0,48554000.0,1623284.0,"Ищу напарника, помощника, админа и просто друга, в группу об Elhaida Dani из Албании"" (того кто согласен что она шикарна) Писать в лс))",из Албании,None,None,None,1
11,102.0,48554000.0,1623285.0,"Ищу напарника, помощника, админа и просто друга, в группу об Elhaida Dani из Албании"" (того кто согласен что она шикарна) Писать в лс))",из Албании,None,None,None,1
12,121.0,35072567.0,1624926.0,"[id236003712|Sonya], Действительно, в Тарту много кто ездит, особенно много ездят из России на магистратуру к вам)",из России,None,21,Россия,2
13,698.0,94652538.0,1624785.0,Золотой Мальчик из Израиля и Амината😍,из Израиля,None,None,None,1
14,35.0,96777936.0,1621955.0,"В целом все было слабо. Действительно понравилась разве что Швеция - музыкальностью и атмосферностью. У Албании интересно, но сыровато. Что касается Польши, соло не очень впечатлило. Хотя понравилось больше Словении. Соло Словении было очень сухим, на мой взгляд. Например, в 2013 похожую постановку исполнила девушка из Беларуси. Вот там были мурашки. Тут не было.
А вот в дуэли словенка была намного сильнее полячки, я бы победу отдала ей",из Беларуси,Острог,None,Украина,1
