,Unnamed: 0,from_id,id,text,miss,city,age,country,sex
0,8.0,359451683.0,910313.0,"[id11967345|Вова], думаеш колдуны из России нашаманили? 😉",из России,Казань,None,Россия,2
1,73.0,218953545.0,910176.0,"[id281265455|Матвей], ну, он же старый)) и из австрии))",из австрии,None,None,None,2
2,7.0,133331345.0,912565.0,"Вот и посмотрим в 18 году что будет , если Масса разнёс стролла , то Роберт подавно втопчет его в грязь , не забывайте что годом раньше Боттас так же разнёс Массу - исходите из этого какой уровень этого мальчика из Канады",из Канады,Москва,27,Россия,2
3,112.0,403046389.0,904483.0,"Петров просто не созрел для ф1 первый пилот из россии, конечно давление на него большое со стороны прессы и привыкнуть к болиду ему давалось тяжело",из россии,None,None,None,2
4,35.0,275836860.0,907026.0,"[id84798634|Игорь], да и это говорить какой то хер из минска 😂😂",из минска,Ереван,None,Армения,2
5,51.0,240067965.0,913610.0,"[id40795656|Андрей], секунду на старом болиде, возможно на разных программах. Источник из России. Но даже если это так, то это лишь подтверждает насколько Сергей классный гонщик. Но ведь не стали с ним работать в Рено. Вот вам и контраргумент.",из России,Киров,None,Россия,2
6,60.0,83428806.0,911831.0,"[id234480105|Михаил], я не знаю чем им русские не нравятся но речь шла именно о пилотах из России, а не о Квяте. Это было интервью по моему в начале прошлого года.",из России,Тула,None,Россия,2
7,8.0,4533857.0,898085.0,"[id237664746|Иван], Автор говорит о макаронах, как о переводе на русское понимание, что такое паста. Но паста в России делается из вермишели, лапши. А макароны в России это трубчатые коротенькие штучки. Усёк? 
Плевать, что таке паста в Италии, когда автор статьи из России рассказывает о пасте объясняя что это макароны",из России,Москва,32,Россия,2
8,12.0,201862860.0,905008.0,"[id168081071|Константин], что плохого когда в каждой гонке на Российском телеканале, российские комментаторы, для российских телезрителей говорят, что да у нас есть в ф1 свой гонщик, и да из России он пока единственный самый быстрый и единственный хоть чего-то добился.",из России,None,None,Россия,2
9,210.0,192386574.0,905587.0,"[id408076554|Илья], великий талант из России",из России,Запорожье,None,Украина,2
10,27.0,5882193.0,908278.0,"[id365626421|Кишечный], биг рашн босс родом из Башкирии с карьерой в Италии…",из Башкирии,None,None,None,2
11,57.0,293851073.0,901684.0,"[id18129172|Anton], я не сказал, что Хартли ехал, он и не будет ехать без опыта никакого, но он точно и не НЕ ехал. На данный момент с таким дебютом его потенциал выглядит намного выше, чем ""русского"" из Монако)))",из Монако,Санкт-Петербург,19,Россия,2
12,7.0,11309029.0,900009.0,"""В целом по сезону""? У тебя сезон состоит из Австралии, Бахрейна, Монако, Венгрии и Сингапура? :D",из Австралии,None,None,Россия,2
