,age,city,country,from_id,id,miss,sex,text
0,23,Киев,Украина,100992823.0,2290271.0,из Греции,1,Грузию вместо принцесски из Греции
0,None,None,Украина,104487618.0,2351238.0,ИЗ РОССИИ,1,"ВОТ ЕСЛИ БЫ САМОЙЛОВУ ИЗ РОССИИ ПРОПУСТИЛИ, ТАК ОНА БЫ ЭТОГО ИНВАЛИДА ПОДДВИНУЛА И ЗАБРАЛА БЫ СЕБЕ ТИТУЛ))"
0,None,Донецк,Украина,10695560.0,2332654.0,из Швеции,2,Крис Хемсворт из Швеции)
0,None,Киев,Украина,107321961.0,2101182.0,из Украины,2,"[id249517106|Сергей], ууууууу видно что не из Украины"
0,17,Покровск / Красноармейск,Украина,109179294.0,2071344.0,из Украины,1,"Блииин. Хоть я из Украины, но я болела за Серёжу😭😭😭что за бред??? 😡"
0,26,None,Украина,11029061.0,1880763.0,из Австрии,1,Кипр рульный. Ну и девочка-припевочка из Австрии.
0,None,Днепропетровск (Днепр),Украина,112102105.0,2120406.0,из Киева,1,"Недостоверная и не приводящая источников статья в немецком таблоиде BILD вновь вызвала серию драматичных репортажей с некорректным переводом в российской прессе. 
Немецкая газета опубликовала сегодня статью под названием: ""Война нервов на Евровидении. Почему Москва неожиданно обсуждается возможной заменой Киеву?"" 
Традиционно, статья начинается с ложного толкования о том, что в случае невозможности Украины провести конкурс Евровидение 2017, право на его организацию будет передано стране, занявшей в прошлом году третье место, поскольку Австралия не имеет права организации мероприятия, как ""ассоциированный член"" ЕВС. ""Уже шли ""разговоры"" о Москве, как возможном месте проведения, BILD узнал в кругах Евровидения"", пишет газета, не приводя ссылки на свои источники. 
Заявление BILD было немедленно подхвачено, распространено и изменено в российских СМИ. Например, про-правительственный телеканал НТВ сообщил: ""По сведениям немецких СМИ, Украина не может позволить себе расходы на организацию и проведение международного песенного конкурса «Евровидение-2017», и Европейский вещательный союз рассматривает альтернативные варианты. Как пишет немецкое издание Bild со ссылкой на источники в оргкомитете международного музыкального конкурса, оргкомитет рассматривает Москву в качестве возможного места проведения «Евровидения» в 2017 году. По сведениям немецких СМИ, решение о месте проведения конкурса будет принято на генеральной ассамблее Европейского вещательного союза 8 декабря"" - хотя этого совершенно нет в статье BILD. 
В качестве очередного ""совпадения"", НТВ готовит к выходу очередной из своей серии репортажей ""Евровидение в Киеве"", которые ранее включали в себя часовое ток-шоу о планируемом месте проведения церемонии открытия конкурса. Где ни один из присутствовавших гостей не располагал ни малейшим пониманием того, что вообще такое ""церемония открытия"", и только к 20й минуте ведущие признались, что вообще-то речь идет не о самом концертном шоу, а о некоем дополнительном мероприятии. 
Несмотря на то, как активно российская пресса подхватывает распространение любых новостей о возможном переносе конкурса из Киева, ЕВС неоднократно подчеркивал, что они довольны подготовкой к конкурсу в Украине. Более того, даже если конкурс когда-то и придется переносить в случае форс-мажора, это не делается в страны, следующие по порядку занятых мест на конкурсе. ЕВС выбирает резервную страну внутренними договоренностями. Например, как стало известно позднее, в 2005 году, когда конкурс тоже проходил в Украине, в качестве резервной страны находилась Швеция. 
Переворачивая упомянутые BILD ""разговоры о Москве"" в ""переговоры с российскими властями"", финансируемая государством российская телекомпания RT сообщает: ""Оргкомитет международного песенного конкурса «Евровидение» вступил в контакт с российскими представителями по поводу возможного переноса мероприятия в Москву. Об этом сообщает Bild. Решение о начале переговоров принято в связи с отсутствием финансовых гарантий от Украины"". 
При этом, ни репортаж RT, ни статья BILD не содержат упоминания о том, что правительство Украины, на самом деле, уже выделило финансовую гарантию в размере 15 млн Евро Европейскому вещательному союзу, которая была переведена на его счет еще летом, и является резервным бюджетом для конкурса. 
Материал BILD отмечает, что администрация Киева уже выделила 9 млн Евро на организацию конкурса, но заявляет, что этого ""недостаточно"". Цитируя неназванного представителя ЕВС, BILD пишет, что в предыдущие годы затраты на проведение шоу составляли от 17 до 25 млн Евро, при этом 10 - 14 млн из них поступают от самого ЕВС. Также, общий бюджет конкурса наполняется деньгами от спонсоров и продажи билетов. 
Некоторое логическое замешательство: если счесть, что указанная цитата справедлива, то Украине остается внести лишь от 7 до 13 млн Евро для того, чтобы бюджет конкурса соответствовал прошлогодним, и учитывая упомянутые выше 9 млн от Киева, а также доходы от спонсоров и продажи билетов, значит бюджет уже полон, и даже выше планируемого? 
Правда, есть несколько моментов, которые BILD интерпретирует неверно. Прежде всего, сумма взносов за право участие не составит 10-14 млн Евро, а скорее будет ближе к 5 млн Евро. Кроме того, эти деньги поступят в НТКУ только после окончания конкурса. 
Цифра в 9 млн Евро от администрации Киева также сама по себе некорректна. Киев выделяет собственно на организацию Евровидения 7.3 млн Евро, однако, еще до 35 млн Евро могут быть выделены и использованы на инфраструктурные проекты, связанные с основными локациями Евровидения, украшением и благоустройством города, и этот бюджет рассчитывается отдельно. Например, на этой неделе 3.6 млн Евро были выделены на строительство и ремонт объектов транспорта, остановочных павильонов, строительство и ремонт систем освещения и архитектурно-декоративной подсветки, установку сенсорных информационных центров, и реконструкцию фонтанов на Майдане - все это в рамках программы экономического развития Киева для обеспечения высокого уровня организации конкурса Евровидение. 
Далее, BILD пишет, что в ноябре в Украинском парламенте был достигнут ""прорыв"", большинством депутатов Верховной рады был принят ""Специальный закон о выделении государственного бюджета на проведение конкурса Евровидение"", гарантирующий 15 млн Евро на организацию конкурса. Эта часть статьи BILD полная неразбериха. 
Действительно, украинский парламент утвердил 17 ноября очень важный закон, касающийся организации Евровидения, но он не имеет никакого отношения к финансированию конкурса. Верховная Рада Украины приняла поправки в закон ""О публичных закупках"", позволяющие НТКУ приобретать товары, работы и услуги связанные с организацией конкурса Евровидение на переговорной основе, без длительной процедуры тендеров. Хотя этот закон и очень важен для конкурса, он совершенно не связан с его финансированием. 
Далее, BILD пишет, что несмотря на принятие закона, финансирование конкурса все еще не было получено национальным вещателем, хоть он и был заверен, что оно поступит в ближайшее время. Но этому есть простое объяснение: конкурс финансируется из государственного бюджета Украины на 2017 год, который еще не был принят Верховной Радой, и по которому бюджет конкурса не может быть выделен ранее начала 2017 года. 
В настоящее время, организаторы могут оперировать только 1.8 млн Евро уже выделенными городом Киевом (оставшиеся 5.4 также будут выделены в следующем году), но сама по себе физическая подготовка к конкурсу все равно не начнется до следующего года (за исключением инфраструктурных работ, уже выполняемых администрацией Киева). Работы на самой арене конкурса запланированы начаться в середине марта, поскольку на ней требуются лишь небольшие изменения, в частности, установка трибун, и разделительных стен. 
Финансирование конкурса не является проблемой, это уже неоднократно подчеркивали организаторы конкурса в Украине. ""Более того, задача НТКУ не состоит в том, что не потратить все выделенные деньги, а в том, чтобы потратить как можно меньше и показать стране, что тендеры могут быть прозрачные, что Евровидение может стоить столько, сколько оно стоит реально"", отмечал Исполнительный продюсер конкурса Александр Харебин. 
В этот момент основными задачами организаторов является создание т.н. ""core team"" - команды ключевых персоналий, которые будут работать над организацией конкурса, и принять решения о победителях конкурсов на творческую концепцию, дизайн сцены, официального билетного агента и туристического оператора. Ожидается, что дополнительная информация об этом будет озвучена в рамках презентации проекта Евровидения в Украине 8го декабря на заседании Генеральной Ассамблеи ЕВС в Лозанне, Швейцария. 
Евровидение 2017 - это ""огромная возможность для развития украинского рынка"", и ""повод для гордости всей Украины"", приводит BILD цитату еще одного Исполнительного продюсера конкурса Виктории Романовой. ""Теперь страна должна доказать, что справится с организацией мероприятия такого мега-масштаба"". И ESCKAZ уверен в этом."
0,None,Одесса,Украина,11285599.0,2112699.0,из Белоруссии,1,"У меня в этом году было много гостей из Белоруссии. Впервые слышу, что Одесса по сравнению с вами это 70-е😂. Все мои гости остались в полном восторге от города, от развлекательных заведений, от пляжей, от людей!, ездили скупала по торговым центрам все что могли и одежду, и обувь..говорили ""нам до вас еще лет 20 идти"". Так что не знаю-не знаю где вы отдыхали, в какой Одессе))"
0,None,Одесса,Украина,113822497.0,2318515.0,из Украины,1,"[id28507996|Alexx], чтоб ты понимал..выигрыаает всегда тот,какой стране нужна победа..всем пофиг на талант..ч из Украины,но ни разу не слышала чтобы хоть кто то пел песню Джамалы 1944"
0,None,Киев,Украина,11535743.0,2251932.0,из Украины,1,"[id214087096|Афанасьева], речь шла о слоганах и их влиянии на конкурс и участников)) Я даже профиль девушки не смотрела) Но судя по ее комментариях, не похоже, что она из Украины)"
