,Unnamed: 0,from_id,id,text,miss,city,age,country,sex
0,15.0,433815928.0,2639089.0,Главный герой будет из Белоруссии,из Белоруссии,Kyōto,None,Япония,2
1,311.0,162911344.0,2639513.0,ГГ. будет из белорусии,из белорусии,Москва,15,Россия,2
2,156.0,87325220.0,2637797.0,На него можно фотать сьёмки плохого Российского кино. Баду нужен новый артефакт из Америки),из Америки,Кемерово,None,Россия,2
3,365.0,28702813.0,2636419.0,"Я конечно не фанат аниме и могу ошибаться, давно смотрел, но не понимаю, почему ""согласные"" тут порой возражают аргументом: ""А типа всех надо в американской адаптации, как в оригинале, японцами сделать?""... Насколько я помню, ""L"" в аниме был родом из Англии.",из Англии,Воронеж,24,Россия,2
4,50.0,279521211.0,2636459.0,"[id175244058|Инна], вы из Екатеринбурга однако. Мы с вами лично не знакомы?",из Екатеринбурга,Chicago,25,США,2
5,121.0,283062523.0,2632801.0,"Бред. Если из Москвы сделать Мегасити, то на ее территории поместятся все 7 миллиардов человек. Какое блин перенаселение?",из Москвы,None,None,None,2
6,29.0,21038731.0,2629453.0,"Воспаление почек.
З.ы. я из Питера.",из Питера,Санкт-Петербург,23,Россия,2
7,310.0,80095486.0,2627047.0,"[id273912523|Кирилл], орда прихватила пару инженеров из китая, но это и есть сам Бату хан( инфа с кинопоиска)",из китая,Москва,25,Россия,2
8,424.0,174909574.0,2627228.0,"Человек любящий свою страну и ее историю любит и в победах и в поражениях признавая их. Но люди у которых комплексы ""кудах Русь не могла проиграть кудах""  пытаются оправдать что такое  слабое сопротивление Руси в период нашествия Орды было. И да Орда писала о крупных сопоставлении славян но их по пальцам было пересчитать ибо Субэдэй создал самую эффективную доктрину войны которой пользуются до сих пор. И да взорвутся пуканы тупых пэтриотов которые ни одной исторической книги не прочли России не было бы если бы не ига) ибо осознание единства, поток знаний из Китая, развитие дипломатии (Невский никакой полководец ибо победы не такие уж и значимые а вот дипломат самый лучший в истории) и тд и тп",из Китая,Горячеводский,22,Россия,2
9,19.0,194060628.0,2626036.0,"[id11558879|Артём], о вы из Англии",из Англии,Canberra,None,Австралия,2
10,130.0,38894627.0,2672822.0,"[id56040510|Романъ], а про эвакуацию из Севастополя в 1942 вы в таких же выражениях рассказать не хотите?",из Севастополя,Воронеж,29,Россия,2
11,361.0,83964206.0,2673283.0,"[id255461938|Данил], Черчиль отослал британские войска на поддержку французской армии. В итоге они как прибыли, так и убыли из Франции. Наши войска сражались, а не убегали, как зайцы от противника. Другое дело, что англичанам всегда было насрать на союзников, если это касалось их интересов, что мы и увидели по операции ""Динамо"". Какая-то у вас сломанная логика получается.",из Франции,Москва,None,Россия,2
12,64.0,19119378.0,2672240.0,"[id64137689|Павел], Она гражданка России естественно.Но в Крым нужно было по делам.И хотела выехать из Киева туда.Но пришлось прилететь в Мск, и только от туда въезжать в Крым.Вот так вот геморрой.",из Киева,None,None,None,1
13,76.0,19119378.0,2672260.0,"[id64137689|Павел], Она, что дура что ли, чтобы через Москву ехать?Ей было проще из Киева в Крым.А не в Россию для этого ездить.Не знаю, кто у вас работает, но меня обвинять не нужно.Мне не зачем небылицы рассказывать.Значит,так случилось.Чему удивляться?!Я конечно тоже в первый раз удивилась, ну ничего, теперь буду знать сама.",из Киева,None,None,None,1
14,186.0,132991643.0,2666206.0,"Купил билетик.)))
Кто из Питера и не против составить компанию?)",из Питера,Санкт-Петербург,21,Россия,2
