,Unnamed: 0,from_id,id,text,miss,city,age,country,sex
0,0.0,5475612.0,335597.0,"[id7746112|Ильшат], мы снимаем комнату на вилле за 150 $ в месяц, отдельно виллу можно снять в пределах 500$/месяц, плюс аренда скутера или авто, скутер на месяц около 50$. Районы разные, зависит от цели, чего хочется. Вообще можно жить в любом районе и двигаться в любые направления. Билеты мы брали, летели с Индии через Малайзию, с России - дорого наверное будет, но если сильно заранее, то возможно найти подешевле, мониторьте сайты.",с Индии,Астрахань,None,Россия,1
0,0.0,144373628.0,391791.0,"обстановочка супер, у нас много отдыхающих с России, с этим все в порядке) но на границе могут развернуть, одного моего знакомого не пустили. если очень надо в Украину, и  это вопрос жизни и смерти, то лучше подстраховаться и сделать приглашение )",с России,Черновцы,21,Украина,1
0,0.0,335087259.0,374481.0,"[id5205980|Алексей], в газель залазит) ну и багажник на крыше автомобиля)
Вот товарищ сплавляется с Москвы до Севастополя,может прочитав его журнал,вы найдете много ответов на вопросы по этой теме: vk.com/furjar",с Москвы,None,None,Россия,2
1,1.0,226231245.0,374408.0,"Еду обратно с Крыма. Сложности возникли в районе Ялты и окрестностях , на берегу место мало, все почти занято отелями и прочей ерундой. Но там же есть возможность подняться немного в горы, в сторону Ай-петри, там место предостаточно. А в остальных местах все хорошо, вопрос выбора и предпочтений 😉",с Крыма,Иваново,None,Россия,2
2,2.0,56705170.0,374495.0,"Ребят, кто с Беларуси, как до Крыма лучше всего добраться? И как там сейчас с ценами на жильё?",с Беларуси,Минск,21,Беларусь,1
0,0.0,213740159.0,382040.0,"Как-будто зимой легче ездить. Ехал сутки с Беларуси в купе, думал сдохну. Батарея под головой, воздух сухой и душный, окна не открываются. Ночью реально становилось плохо и не раз, да так что спать не мог - ходил взад-вперёд по коридору вагона, как приведение. 👍",с Беларуси,None,None,None,2
0,0.0,120807447.0,397671.0,"[id8120102|Захар], я с питера и в финку нам упрощен процесс получения визы. Остальное в отчете )",с питера,Санкт-Петербург,None,Россия,2
0,0.0,159674388.0,317719.0,"[id239680974|Sergey], видимо он с Украины. На украинском будет Карпати.",с Украины,None,None,Украина,2
0,0.0,4060212.0,396924.0,Посты с Исландии и Грузии можно смотреть вечно😋,с Исландии,Снегири,None,Россия,2
0,0.0,958234.0,406400.0,"вернулся с подругой с Грузии в среду, дорога от Тбилиси до Питера заняла 5 дней, двоих легко берут южнее Краснодара .. дальше жопа, дальнобойщики показывают, что берут одного ... за редким исключением .. севернее Краснодара ночью никто не берет не смотря на яркие куртки и комбезы, поэтому если 9 часов вечера и стоишь на обочине, можно ставить палатку и не париться .. в Грузии понравилось, еда/хостелы дешевые и качественные .. горы красивые, море теплое пока что .. был неприятный инцидент рядом с Батуми - стояли на пляже с палаткой, ночью проснулись от того, что трясли палатку - оказалось у местной пьяной грузинской молодежи кончились сигареты, поэтому им нужны деньги .. когда денег давать не захотели - молодежь достала из штанов огнестрел и попросила еще раз, пришлось дать 5 лари, после чего они ушли .. вообщем не понятно что это было .. но в целом в Грузии не плохо )))",с Грузии,Санкт-Петербург,38,Россия,2
0,0.0,4494543.0,343638.0,"[id114789448|Дмитрий], нет, мои знакомые с Питера)",с Питера,Иркутск,None,Россия,2
0,0.0,265623711.0,314935.0,Мне вообще интересно как она с России выехала и не развалилась,с России,None,19,Казахстан,2
1,1.0,53240716.0,314870.0,"А вообще скайсканер, с Канады и до Европы ставить. А там он найдёт. А в Европу на победе можно слетать",с Канады,Краснодар,None,Россия,2
2,2.0,145414006.0,314372.0,"[id96146657|Григорий], с 12 работаю, готовлю на заказ. В 16 переехал от родителей с Казахстана в ЕКБ и тут уже поваром работаю и учусь) да и копил достаточно долго , порядка 8 месяцев.",с Казахстана,None,None,None,2
0,0.0,272207932.0,323563.0,"[id265710101|Nastya], я совершенно так не думаю. 
может вы говорите про ближний восток, и про 30% тамошних даже жителей. 
даже там процентов 70 отличные просто ребята. 
а уж что говорить про Азию
азиатам в принципе европейские женщины не интересны
уж я то могу сказать, я был не раз в азии и почти во всех ее странах
а вот азиатским девушкам европейцы очень интересны
прям очень
попробуй походить по Вьетнаму с щетиной, все девушки смотрят
или в Тайване заговори с любой, все отвечают с повышенным интересом
хотя уж я то точно не отличаюсь ничем примечательным 
обычный парень. 
не важно, итальянцы, немцы, кавказцы, Русские
ты объект внимания. 
так что ваш комментарии совершенно не соответствует действительности
с России в Азии в процентом соотношении от всех остальных бекпекеров может 0.001% 
и поэтому эта сфера только развивается тут
но я лично видел тысячи девушек, с европы, Австралии, Америк
все были одиноки
многие жаловались на то что европейцев парней охмуряют азиатки, а азиаты мужчины считают азиаток идеалами и даже не смотрят на них. 
",с России,Portland,None,США,2
1,1.0,163071110.0,323246.0,"[id404411290|Eugene], не правда!))))Еду в субботу в Оленегорск с Беларуси-на оленях покататься,Мурманск посмотреть...к шаману может получиться заглянуть)))",с Беларуси,Витебск,None,Беларусь,1
0,0.0,70342582.0,380185.0,"По Украинским таможням человеческий фактор процентов на 90. можно пройти без проблем а могут мурыжить минимальными денежными обеспечениями, наличием билетов или приглашением. 
На Молдавских таможнях если нет нарушений то не вредные. Только мясо/колбасу с Украины отберут. 
А стоп нормальный должен быть, народ не вредный, даже гостеприимный. Особенно по селам.",с Украины,Дондюшаны,None,Молдова,2
1,1.0,87024095.0,380162.0,А кто то с Украины в Перемышль на интерсити ездил ?,с Украины,Киев,27,Украина,2
0,0.0,39831178.0,406899.0,"[id2166795|Татьяна], поезд до Апатитов с Москвы, на 5 часов меньше идёт, чем до Мурманска. На самолёте до аэропорта Хибины вообще 2 часа лётного времени)
А вот к Терскому берегу и в Умбу зимой с Мурманска, надо постараться...)",с Москвы,Кировск,None,Россия,2
0,0.0,3056473.0,349526.0,"Кстати как там обстановка подскажите. Кто с россии ездит как вотрудники, как цены, как с базами отдыха и тд",с россии,Липецк,None,Россия,2
1,1.0,79749877.0,348732.0,"[id6820614|Олег], если Карабах не будите посещать то разници нету, а если будите, то надо начать с Азербайджана поездку...",с Азербайджана,Абовян,28,Армения,2
2,2.0,743357.0,348693.0,"Когда гонял в Европу, делал финскую визу. С Финку ехал маршруткой с Питера, оттуда самолетом в Прагу, из Праги автобусом в Мюнхен (и это был единственный раз, когда автобус остановили и немецкие полицаи проверяли паспорта), из Мюнхена автобусом в Верону без всяких проверок.",с Питера,Вологда,28,Россия,2
0,0.0,208750131.0,361565.0,"Как же здорово!
Всё мечтаю побывать в этой стране, только одой с Украины страшно ехать",с Украины,Одесса,20,Украина,1
0,0.0,89300891.0,372348.0,"5. Пьянствовать в Караоке с китаянками, тебя прикрепляют к клиентке и ты ее развлекаешь весь вечер или 5 минут, как она захочет. 300 юаней с клиентки, в независимости сколько ушло времени.

6. Петь под гитару не на улице, а в барах, оплата почасовая.",с китая,None,None,None,2
1,1.0,84352651.0,372216.0,"У меня друг ездил со сбер картой и ей же расплачивайлся как у нас, электронным деньгам все равно какая валюта. Там есть обменные пункты, меняй на доллары. А доллары меняй в России на рубли, но друг когда приехал с Китая(месяц назад)и пошёл в без комиссионный обменник там отказались доллары менять. Без объяснения причины. Так и лежат теперь...до следующих отпусков",с Китая,Екатеринбург,None,Россия,1
2,2.0,244427075.0,372193.0,"Встречал велосипедиста который выехал с Украины, сделал круг по Крыму и поехал обратно. Полагаю что граница открыта, на счёт транспорта не в курсе",с Украины,Краснодар,26,Россия,2
3,3.0,21836994.0,372240.0,"въехать с Украины в Крым можно только с украинским паспортом. Для всех прочих нужно получать ""спец.разрешение"", но мы пока не видели ни одного реального случая его выдачи.

подробнее http://hitchwiki.org/ru/%D0%A3%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D0%B0/%D0%9F%D1%80%D0%B0%D0%B2%D0%B8%D0%BB%D0%B0_%D0%B2%D1%8A%D0%B5%D0%B7%D0%B4%D0%B0#.D0.A1.D0.BB.D0.BE.D0.B6.D0.BD.D0.BE.D1.81.D1.82.D0.B8_.D1.81_.D0.BF.D0.BE.D1.81.D0.B5.D1.89.D0.B5.D0.BD.D0.B8.D0.B5.D0.BC_.D0.9A.D1.80.D1.8B.D0.BC.D0.B0",с Украины,Дубна,None,Россия,2
0,0.0,183914058.0,392919.0,"вы видели цены в столице?) продукты дороже, чем в тае. объясняют мол типа все импортом тащат из тая. чо с китая не тащат хз?",с китая,Boston,None,США,2
0,0.0,428747852.0,381392.0,"Кто стопил с киева в одессу 
Как успехи и где стояли?",с киева,None,None,None,2
0,0.0,2687140.0,362113.0,"а что за тема с пермитами? ) я слышал нужны, но чего и куда?",с перми,Москва,None,Россия,2
0,0.0,372770954.0,378299.0,А с китая в Тайвань сделать визу проблемно?,с китая,None,None,None,1
1,1.0,5298755.0,377712.0,"[id257901420|Сергей], вы ошибаетесь на счёт культуры,культура этих стран с Кореи и началась.",с Кореи,Великий Новгород,None,Россия,2
2,2.0,5566023.0,377123.0,"[id169380643|Сергей], а в чем выражается эта ""душа"" простите? Не кажется ли вам, что это протсо надуманное что то, так сказать самовнушение: я ж С Питера)))",С Питера,Минеральные Воды,None,Россия,2
0,0.0,106105098.0,365942.0,Сколько стоит с Крыма до Байкал?),с Крыма,None,None,Украина,2
1,1.0,243251496.0,365947.0,"[id106105098|Ivan], с Питера стопом 6 суток",с Питера,Санкт-Петербург,33,Россия,2
2,2.0,107199203.0,365037.0,"Автор езжай, не парься. Поездкой останешься доволен. Это одни из лучших стран для автостопа.
Палатку в Грузии можно ставить хоть в центре Тбилиси в парке на газоне, полиция разрешает. С Азербайджана посоветовал бы проехаться в Армению.
Визу в Иран сделать единственное что может поднапрячь, и лучше езжай с напарницей/ком.",С Азербайджана,None,None,None,2
3,3.0,21836994.0,365270.0,"[id107199203|Серёжа], ""С Азербайджана посоветовал бы проехаться в Армению."" - а вот такие ""вредные советы"" давать здесь не стоит.",С Азербайджана,Дубна,None,Россия,2
0,0.0,5889061.0,362875.0,А есть кто на велосипедах с Москвы или Питера туда ездил?,с Москвы,Уфа,28,Россия,2
0,0.0,184529344.0,419429.0,"у меня он не сохранился на карте, но с Москвы до Риги (вся Прибалтика) потом Польша, Чехия, Австрия...
потом все Балканы и через Румынию и Молдову в Украину уже уехала)) 
хотела ещё поехать до Португалии но уже сил не было.",с Москвы,None,116,None,1
1,1.0,17203837.0,418966.0,"Я в хостеле в Польше в Татрах был, так там типы с Германии, Ирландии, Англии, работаеш 2 дня в неделю в этом хостеле и все, завтраки бесплатно. Там очень атмосферно и по домашнему уютно, плюс вид на горы)",с Германии,Киев,26,Украина,2
0,0.0,162618864.0,321519.0,"Кто может подсказать, если я хочу в Турцию на велосипеде, с Украины, что для этого нужно? Пересечь надо Румынию и Болгарию, что с визой, сколько нужно денег и что заранее готовить? Заранее спасибо",с Украины,Киев,None,Украина,2
0,0.0,12719937.0,394872.0,"[id3255432|Mari], да, и насчёт ""те, кто путешествуют - не герои *изначально*""... Изначально - мы все не герои. Но человек, отправившийся в одиночку автостопом с Питера в села Дагестана и Чечни или мужик, решивший на стареньком мопеде прокатиться от Питера до Владивостока, становятся героями ровно по достижении своей цели. Самое главное - героями *для себя*. Они понимают, на что они способны.
Но и они, отправляясь в путь, страхуются (один - запасными колёсами и простотой конструкции мопеда, другой - поддерживанием связи с друзьями и новыми знакомыми в Дагестане).",с Питера,Махачкала,None,Россия,2
0,0.0,53240716.0,332361.0,"Варик только лететь с вьетнама или тайланда, там дешевые самолеты.",с вьетнама,Краснодар,None,Россия,2
1,1.0,326490269.0,332449.0,"[id53240716|Кеша], разве дешевые с Таиланда? Вроде 200 баксов.",с Таиланда,None,None,None,1
2,2.0,326490269.0,333088.0,"[id53240716|Кеша], в том-то и суть, что я искала с Индии в Тай и дешевых не нашла тогда.",с Индии,None,None,None,1
0,0.0,-51815257.0,405026.0,"[id21768397|Сергей], должны знать, если хотят что-то на нем писать не в личной тетрадке, а в публичных местах, что-то демонстрировать и поучать. Иначе это неуважение к читателю. И ладно был бы еще негр преклонных годов, а то ведь с Украины - и такая неграмотность...",с Украины,None,None,None,1
