,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,age,city,country,from_id,id,miss,sex,text
0,0,0.0,924.0,19,Обоянь,Россия,133983590.0,18290177.0,из Китая,1,Воспользуйся моим промокодом CVF-68132-FJJJ в приложении Pandao и получи 200 баллов на счет. Заказывай товары из Китая абсолютно бесплатно.
1,1,1.0,549.0,None,Москва,Россия,337275614.0,18311401.0,из Германии,2,"[id355878612|Ника], нет, не только укропы, я вообще т москвич а родом из Германии"
2,2,2.0,150.0,22,None,None,444505768.0,18310391.0,из Германии,2,Фигурное исполнение дворником из Германии проекта : Первый снег после Африки
3,3,3.0,156.0,28,Новошахтинск,Россия,153776647.0,18307836.0,из России,2,"Вот зачем русские уезжают(улетают) из России за границу, я понимаю. Но зачем иностранцы в Россию приезжают, вот этого понять не могу."
4,4,4.0,60.0,None,Rio de Janeiro,Бразилия,35868188.0,18303436.0,из России,2,хорошая- твой дух улетит из России
5,5,5.0,342.0,22,Кингисепп,Россия,15161538.0,18301839.0,из России,2,"[id458904124|Владимир], ну, был же недавно случай. На каком то международном конкурсе, 15-ти летний ублюдок, из России сделал доклад про сталенградскую битву, и просил прощения у немцев"
6,6,6.0,100.0,24,None,None,307542727.0,17234648.0,из России,2,"[id171365929|Tommy], а сам не из России, где ты этого мудака нарыл?)"
7,7,7.0,401.0,None,None,None,316219378.0,17225870.0,из екб,2,"[id144137572|Руслан], блядь откуда тебе знать про зарплаты школьник если ты не работаешь уебанище а ну да тебе же сасальный нассал в рт что зп 15к по стране во вторых это откуда такая цена до тобольска ну ка пруфчик кинь пиздабол псмотри би\лет на самолет из екб цена 5к уебанище про какие ты 8 тысяч тут поешь хуеглот. с каких пор 8к стоит поездка в соседний город ты суслик малолетний"
8,8,8.0,423.0,None,None,None,316219378.0,17225908.0,из екб,2,"Руслан, цена билета из екб в москву 5к уебок это полстраны пролететь че ты блядь тут пездишь нахуй. второй курс пту бля учишься так пиздишь будь то второе высшее получешь уебан малолетний у мамаши под юбкой живешь еще пиздешь чет уебок хуй сосального из ушей вынь ебаный сынок"
9,9,9.0,1219.0,32,Челябинск,Россия,9195074.0,17231197.0,из турции,2,"[id267444919|Арген], дак на внутреннем рынке газ у нас разве что жгут, понятное дело что излишки продавать имеет смысл, но не всё же? какие технологии и из чего появятся если мы привыкли достать из под земли 10 литров газа, 5 сами сожгли согрелись, 5 продали и купили новое ведро для газа, я каешь утрирую, но это пофигу.
по поводу развития технологий, у нас тут в челябе метран ещё есть, только российского там нет ничего как и в твоих этих микронах. всё на сименсовской электронике, немецких проводах и прочих прелестях гейропейской высокотехнологичной промышленности. своего нет ни ху я. своё там только говно в унитазе, который привезён из турции.
Потому народ и планирует валить при любой возможности, меня бы ничего не держало тут - я бы сквозанул так что турникет погнулся вы в аэропорту. и дальше будет только хуже, гораздо хуже. здесь ведь делать нечего, единственное что оставили людям это либо грязь месить гденить на полуразваленном заводе за 300 баксов, либо торговать дешёвыми китайскими тряпками. у нас пол города думает что если купить контейнер китайских тряпок и с накруткой в 500% реализовать - они писец поучаствовали в формировании ВВП страны. все беды от дибилов)"
