from_id	comment_id	text	from_expression	city	age	country	sex
137146686	7566622	РУСИЧ - БЕЙСЯ С СИОНИЗМОМ!!!  ЖИДАЧ - Лентач группа молодых продвинутых евреев умело промывающих мозги славянским гоям. Навальный ГУССКИЙ националист, считающий необходимым отдать Крым и границу с Донбасом укропам. Мальцев после побега из России побывавший в Израиле и призывающий убивать на улицах за георгиевскую ленту. РойзМАН - жидофашист. МАЦАаналисты с марша мобильной синагоги (Люблино).	из Австралии	Авнюга	36	Россия	2
303545055	1841807	[id292139942|Mariya], лучшими из Украины были Руслана, Ани и Злата, можно еще и Мику тоже добавить	из Австралии	Алмало	None	Россия	2
274550251	1771535	"Между тем, читатели авторитетного немецкого блога Prinz Eurovision Song Contest Blog уже успели оценить композицию ""You are the only one"": 32 процента считают песню превосходной, еще 30 процентов поставили ей оценку ""хорошо"". Лишь 5 процентам вообще не понравился трек из России."	из Австралии	Альметьевск	None	Россия	2
171143869	2113855	[id364007825|Мид], мне лично противно с тобой вести дискуссию, только из за одного. Ты из Украины...Вам там мозги промыли что русские враги №1, а во вторых это ваши сограждане на протяжении практически 3 лет убивают своих земляков, и вовсе ни какого сочувствия по отношению к данным людям...	из Австралии	Ангарск	None	Россия	2
255906621	2024710	Зато тётка из Болгарии не по теряется когда будет идти по дороге	из Австралии	Армавир	16	Россия	2
104768540	2218394	Прочитав все комментарий, в основном обсуждают  3 страны : Азербайджан, Болгарию и Италию. P.S Послушайте внимательно исполнительницу Svala из Исландии 😍  голос просто 👍 образ просто космос 👽 песня 🔥	из Австралии	Астрахань	27	Россия	2
134746992	2141060	Если выйграет Nano , то будет тоже самое что и с Aram mp3 из Армении	из Австралии	Астрахань	22	Россия	2
255664103	17442029	Я так понимаю это из Казахстана прилетели	из Австралии	Барнаул	19	Россия	2
258792216	1620936	"[id268229944|Марк], Не только Эдурне, но и ""Voltaj"" из Румынии"	из Австралии	Березники	None	Россия	2
336175967	2013014	Ваня из Беларуси за Россию❤	из Австралии	Благовещенск	None	Россия	1
135400759	1825230	[id173357866|Влад], почему вокал не самый лучший??? Я думаю из всех представителей Евровидения из России он первый современный сильный исполнитель, с 3D-техникой, с профессиональными танцорами, к тому же ЛГБТ-люди в Европе впереди всех. Если Россия пошлёт гея, то и выиграет, так как таких принимают там. А политика это и есть ЛГБТ-лидеры, а это значит что он выиграет как Кончита, Билан, Монс-Швед, Лазарев.... Песня кстати сильная ,голос тоже.... У меня всё.	из Австралии	Братск	22	Россия	2
16197764	2217327	как бы сюда хорошо вписался бы Меловин из Украины...но эх..	из Австрии	Брянск	24	Россия	1
325511853	1942275	после первого полуфинала я была уверена что Лазарев победит, но после второго полуфинала моя увереность пошатнулась. сильная  участница из Австралии, да и знаете Белорусь не прошла, что привело меня в реальный шок. песня обалденная, постановка тоже не плохая и не прошел.. еще раз убеждаюсь, что от этого конкурса можно ожидать что угодно и кто победит никто не знает, можно лишь предпологать. в любом случаи я буду рада за страну победительницу. но мысленно я конечно же с Сережей. мы все его очень любим и надеемся, что он привезет в Россию хрустальный микрофон.	из Азербайджана	Буденновск	None	Россия	1
156825593	2347153	грач из португалии выйграл	из Азербайджана	Великий Новгород	24	Россия	2
265728193	2070887	Ну посмотрим,что Украина организует,страна бичует,бабок нет,зато на Евровидении победа. Не удивлюсь,если России запретят учавствовать в следующем году😂 Ребята из России,будте готовы к высеру от хохлов	из Албании	Владивосток	None	Россия	2
