,Unnamed: 0,from_id,id,text,miss,city,age,country,sex
0,20.0,876156.0,401862.0,"[id55032|Михаил], да, лучше в тех местах, куда не летают чартеры из России) Хотя китайцев везде море.",из России,Санкт-Петербург,None,Россия,2
1,8.0,318562768.0,401816.0,"Кто знает как из Москвы в Севастополь добраться, без Украины?",из Москвы,None,None,None,1
2,13.0,126080818.0,324788.0,"[id26371438|Дарья], до красноярска на самолете на победе, оттуда поездом до Иркутска будет в 4 раза дешевле чем прямой самолет из Москвы до иркутска)",из Москвы,Санкт-Петербург,None,Россия,1
3,25.0,17970364.0,324333.0,"[id36699121|Mikhail], ну у меня вот товарищ из Беларуси убежал в Германию  (подал на беженство), позиционировал это как незаконное ограничение свободы. Но у него какая то болезни,  астма вроде",из Беларуси,Berlin,27,Германия,2
4,153.0,121982451.0,324284.0,Выехала из России без денег вообще.,из России,Воронеж,24,Россия,1
5,3.0,270410166.0,336173.0,"Коллега ездил из Москвы в Марокко через Европу потом на пароходе через Гибралтар за месяц трипа проехал 17 тысяч км, правда гонял на ситроен берлинго, на четырке сомнительная затея с учетом того что весь путь тысяч до 50 растянется))) но блиииин я бы поехал))))))",из Москвы,Habana,None,Куба,2
6,5.0,13869557.0,335599.0,"В общем ребят,по разному

""Подходим. Рядом с домом, на небольшой ровной площадке стоит палатка (два студента из Англии идут от Шамони до Церматта). У хозяина спросили разрешения тоже поставить палатку - он разрешил и сказал, что это ничего нам стоить не будет. 
В доме пользовались газовой плитой и общим столом, перед уходом отблагодарили хозяина небольшой суммой. ""

http://alps-trip.livejournal.com/53709.html",из Англии,Сочи,25,Россия,2
7,12.0,4060212.0,335396.0,"В Норвегии на Лофотенах поднялись на гору с парой из Питера,  где ветер от души был.  Они сказали, что после Исландии это семечки 😀",из Питера,Снегири,None,Россия,2
8,6.0,215769037.0,365974.0,Как добраться из Черногории?,из Черногории,None,28,Россия,1
9,26.0,90080288.0,365357.0,"Проще на трассе поймать. Ездила так одна из Питера в Мск и обратно. Были всякоразные предложения, но большинство дальнобоев всё-таки  нормальные. Главное не теряться и знать что будешь делать в неблагоприятной обстановке (на всякий случай).",из Питера,Санкт-Петербург,25,Россия,1
10,2.0,372901001.0,365021.0,Из Китая вернулись месяц назад. Про деньги не спрашивали. А визы мы делали через турагентство.,Из Китая,None,27,Россия,1
11,18.0,59854632.0,365158.0,"Проезжая Масаллы (это после Астары и Ленкоран - если с иранской границы ехать) загляните в сторону Йардымлы - чудный серпантин, воспламеняющиеся горячие источники, водопады, красивейшие леса и озеро. Ну и конечно в Грузию из Азербайджана лучше через Лагодехи а не Красный мост - весь северо-запад проедите: Огуз, Шеки, Гах - ща самое время :)",из Азербайджана,Баку,None,Азербайджан,2
12,22.0,20310605.0,365320.0,"Год назад ездили стопом из Краснодара в Грузию, в Армению и Иран. В иран заходили из Армении, визы на границе нам вклеили за  40 евро с человека. Никаких проблем",из Армении,Краснодар,31,Россия,2
13,11.0,8467604.0,371389.0,"[id16679876|Дмитрий], прилетели самолетом из Москвы.",из Москвы,None,None,None,1
