,Unnamed: 0,Unnamed: 0.1,from_id,id,text,miss,city,age,country,sex
0,0,924.0,133983590.0,18290177.0,Воспользуйся моим промокодом CVF-68132-FJJJ в приложении Pandao и получи 200 баллов на счет. Заказывай товары из Китая абсолютно бесплатно.,из Китая,Обоянь,19,Россия,1
1,1,549.0,337275614.0,18311401.0,"[id355878612|Ника], нет, не только укропы, я вообще т москвич а родом из Германии",из Германии,Москва,None,Россия,2
2,2,150.0,444505768.0,18310391.0,Фигурное исполнение дворником из Германии проекта : Первый снег после Африки,из Германии,None,22,None,2
3,3,156.0,153776647.0,18307836.0,"Вот зачем русские уезжают(улетают) из России за границу, я понимаю. Но зачем иностранцы в Россию приезжают, вот этого понять не могу.",из России,Новошахтинск,28,Россия,2
4,4,60.0,35868188.0,18303436.0,хорошая- твой дух улетит из России,из России,Rio de Janeiro,None,Бразилия,2
5,5,342.0,15161538.0,18301839.0,"[id458904124|Владимир], ну, был же недавно случай. На каком то международном конкурсе, 15-ти летний ублюдок, из России сделал доклад про сталенградскую битву, и просил прощения у немцев",из России,Кингисепп,22,Россия,2
6,6,100.0,307542727.0,17234648.0,"[id171365929|Tommy], а сам не из России, где ты этого мудака нарыл?)",из России,None,24,None,2
7,7,401.0,316219378.0,17225870.0,"[id144137572|Руслан], блядь откуда тебе знать про зарплаты школьник если ты не работаешь уебанище а ну да тебе же сасальный нассал в рт что зп 15к по стране во вторых это откуда такая цена до тобольска ну ка пруфчик кинь пиздабол псмотри би\лет на самолет из екб цена 5к уебанище про какие ты 8 тысяч тут поешь хуеглот. с каких пор 8к стоит поездка в соседний город ты суслик малолетний",из екб,None,None,None,2
8,8,423.0,316219378.0,17225908.0,"Руслан, цена билета из екб в москву 5к уебок это полстраны пролететь че ты блядь тут пездишь нахуй. второй курс пту бля учишься так пиздишь будь то второе высшее получешь уебан малолетний у мамаши под юбкой живешь еще пиздешь чет уебок хуй сосального из ушей вынь ебаный сынок",из екб,None,None,None,2
9,9,1219.0,9195074.0,17231197.0,"[id267444919|Арген], дак на внутреннем рынке газ у нас разве что жгут, понятное дело что излишки продавать имеет смысл, но не всё же? какие технологии и из чего появятся если мы привыкли достать из под земли 10 литров газа, 5 сами сожгли согрелись, 5 продали и купили новое ведро для газа, я каешь утрирую, но это пофигу.
по поводу развития технологий, у нас тут в челябе метран ещё есть, только российского там нет ничего как и в твоих этих микронах. всё на сименсовской электронике, немецких проводах и прочих прелестях гейропейской высокотехнологичной промышленности. своего нет ни ху я. своё там только говно в унитазе, который привезён из турции.
Потому народ и планирует валить при любой возможности, меня бы ничего не держало тут - я бы сквозанул так что турникет погнулся вы в аэропорту. и дальше будет только хуже, гораздо хуже. здесь ведь делать нечего, единственное что оставили людям это либо грязь месить гденить на полуразваленном заводе за 300 баксов, либо торговать дешёвыми китайскими тряпками. у нас пол города думает что если купить контейнер китайских тряпок и с накруткой в 500% реализовать - они писец поучаствовали в формировании ВВП страны. все беды от дибилов)",из турции,Челябинск,32,Россия,2
10,10,100.0,209088576.0,17428525.0,"Когда переехал из России жить в Испанию, а привычка ебошить как конь осталась...",из России,Новосибирск,None,Россия,2
11,11,498.0,93894981.0,17418871.0,"[id405198501|Глеб], он из Америки, они не сидят вк",из Америки,Москва,18,Россия,1
12,12,861.0,16303970.0,17415065.0,"Расисит! Из Польши советую ему не выходть , женщины мира ему это не простят. Я уже представляю , как он горит на костре))) как ведьма 🤣",Из Польши,Санкт-Петербург,None,Россия,1
13,13,51.0,410784462.0,17588044.0,"[id20124006|Александр], и то из китая",из китая,Запорожье,18,Украина,2
14,14,476.0,435297243.0,17593280.0,Самое главное приезжих на работу не брать. Пусть валят из Москвы в свои регионы с деревнями.,из Москвы,None,25,None,2
15,15,521.0,444774061.0,17583251.0,Девочки из Москвы есть ?,из Москвы,None,23,None,2
16,16,358.0,155571369.0,17583156.0,"[id132146985|Влад], москвичей то там где увидел? Или у тебя любой Вася из Самары и Света из Саратова что в Москве три месяца на съёме живут сразу москвичами стали?? ))",из Самары,Москва,30,Россия,2
17,17,360.0,132146985.0,17583246.0,"[id155571369|Андрей], ты считаешь что вася из самары и света  из саратова которые на сьеме живут могут себе такую хуйню позволить? Я вот не уверен, друг)",из самары,George Town,21,Острова Кайман,2
18,18,42.0,62879270.0,17702861.0,"Почта России и так охреневала ""как так доставлять четко за 3 месяца товар из Китая например на урал"" ведь для нее доставка из одного района в этот же район (расстояние 5км), занимает около месяца.(факт) а тут такое громкое заявление.",из Китая,Пермь,None,Россия,2
19,19,103.0,51711406.0,17703310.0,че это будет? из Китая быстрее чем из Москвы в Москву?,из Китая,None,None,None,2
20,20,135.0,212205357.0,17703643.0,"Из Китая в Россию 1 неделя, в твой город 3 месяца👍👍",Из Китая,Воткинск,19,Россия,2
21,21,136.0,398944699.0,17703664.0,"В Россию то они могут ускорить, а вот доставка из России до моего города останется прежней",из России,None,None,None,2
22,22,154.0,116175700.0,17703845.0,Из Китая в Россию же,Из Китая,Воронеж,None,Россия,2
23,23,257.0,304495562.0,17706630.0,"То чувство, когда доставка из Китая идёт быстрее чем с почты России",из Китая,Москва,20,Россия,2
24,24,318.0,377768403.0,17712689.0,Из китая в Россию то они ускорят. Но кто ускорит почту России,Из китая,Волгоград,None,Россия,2
25,25,302.0,196262245.0,17718516.0,"А почему мутанты из Кореи говорят на Украинском, вы что блять дибилы ??!!",из Кореи,Леуши,None,Россия,2
