from_id,comment_id,text,from_expression,city,age,country
91863,2259546,"[id27995858|Владислав], а мы как принимающая страна и победившая до, просто забили на то кому петь, Приходько хотела на Евро и ей дали, хотя она с Украины.",с Украины,Санкт-Петербург,33,Россия
187356,7640714,"А вы зря так. Я много где бывал. А года три назад махнули мы с корешбаном на тачке с Питера на Чернобльскую АЭС посетив Киев. Уложились в 3 дня. И я вам скажу - это было круче по впечатлениям нежели 2 недели на Канарах например. Так что я б с удовольствием сгонял в СК. Вон и жена тож не против говорит, правда она думает что это что то типа Вьетнама где позагорать можно. Ахахаа",с Питера,Санкт-Петербург,33,Россия
741627,1614430,"[id49843223|Максим], а никто и не забирал!!! Что именно мы прям ЗАБРАЛИ??????По ТВ в новостях каждый день показывают молодежь Украины, которая, как сумасшедшие - нападают на всех и всё, крушат, бомбят и т.п. Мои друзья с Украины видят всё своими глазами, их так же пытались привлечь, чтоб они всё крушили, бомбили и т.п. Так что задаваться вопросом мне не нужно, я узнаю это от самих же украинцев!",с Украины,Санкт-Петербург,31,Россия
743357,348693,"Когда гонял в Европу, делал финскую визу. С Финку ехал маршруткой с Питера, оттуда самолетом в Прагу, из Праги автобусом в Мюнхен (и это был единственный раз, когда автобус остановили и немецкие полицаи проверяли паспорта), из Мюнхена автобусом в Верону без всяких проверок.",с Питера,Вологда,28,Россия
850636,2314002,"Успокойтесь уже!!! Бесите, каждый год одно и тоже..Украина..бла-бла-бла..Россия..бла-бла-бла!! И там и там есть адекватные, а есть не очень...Вон вчера над нами все одна девушка с Украины потешалась, что мы голосовать не можем..и что? Все украинцы плохие от этого?? Головой будем уже думать? Вместо Евровидения..опять это Россия/Украина...бееесииите!!!!",с Украины,Москва,None,Россия
1195094,7678856,"[id420400899|Саша], пей валерьянку,""ДРУЖОК"".Весь мир знает, как в Крыму относятся к России и им никаких автоматов не нужно,чтобы быстрее свалить С украины с их нацистами",С украины,Санкт-Петербург,None,Россия
1208767,7453996,"[id332599459|Тимофей], нет, у нас это коренные народы, а там приезжие уже граждане, с турции, африки, арабы",с турции,Королёв,28,Россия
1445291,1955253,"Да нету ничего красивого в этой песне,даже голос не спас. И неважно откуда она,с Украины или нет,мое мнение не изменилось бы. Как говорят ""не пел давно и спел г**но""",с Украины,Химки,None,Россия
1925436,1960977,Мне как-то друзья с украины прочитали Руслан и Людмила Пушкина на украинском. Comedy Club  отдыхает просто😝,с украины,Санкт-Петербург,None,Россия
2516087,1704711,"Я с России и буду голосовать за Украину на Евровидении...песня необычная, отличная, с неповторимой музыкой, сильным вокалом.....Костя сделает отличный номер и посмотрим)",с России,Москва,26,Россия
2585053,1810423,"[id124081516|Ксюша], а мне нравится как он с Лорак держаться в этой ситуации, и того и другого своим считают и на Украине и в России) Была здесь пару месяцев назад девчонка с Украины, она сначала думалачто Лазарев за Украину выступает, пока ей про Джамалу не рассказали. Я в общем то не против что бы Лорак за Россию выступала , у певцов скажи проблемы потом будут. Если они и споют за соседние страны, то это еще очень скоро будет...если будет.",с Украины,Новомосковск,None,Россия
2670902,2073994,Киргизка с Украины-атас,с Украины,Москва,27,Россия
2711796,7519980,"Можно вывезти девушку с Украины, но хохломаразм из девушки не вытравить никогда.",с Украины,Новосибирск,27,Россия
3056473,349526,"Кстати как там обстановка подскажите. Кто с россии ездит как вотрудники, как цены, как с базами отдыха и тд",с россии,Липецк,None,Россия
4060212,396924,Посты с Исландии и Грузии можно смотреть вечно😋,с Исландии,Снегири,None,Россия
4494543,343638,"[id114789448|Дмитрий], нет, мои знакомые с Питера)",с Питера,Иркутск,None,Россия
4819064,2328555,"[id3437817|Настёнка], сейчас сразу три британских буков на неё ставят с Италии два часа назад)",с Италии,Москва,None,Россия
5273940,1950055,"Интересно, про Лазарева будет ""с России""?",с России,Ростов-на-Дону,None,Россия
5475612,335597,"[id7746112|Ильшат], мы снимаем комнату на вилле за 150 $ в месяц, отдельно виллу можно снять в пределах 500$/месяц, плюс аренда скутера или авто, скутер на месяц около 50$. Районы разные, зависит от цели, чего хочется. Вообще можно жить в любом районе и двигаться в любые направления. Билеты мы брали, летели с Индии через Малайзию, с России - дорого наверное будет, но если сильно заранее, то возможно найти подешевле, мониторьте сайты.",с Индии,Астрахань,None,Россия
5566023,377123,"[id169380643|Сергей], а в чем выражается эта ""душа"" простите? Не кажется ли вам, что это протсо надуманное что то, так сказать самовнушение: я ж С Питера)))",С Питера,Минеральные Воды,None,Россия
5567309,1875549,Девочку с Исландии жаль(,с Исландии,Москва,None,Россия
5889061,362875,А есть кто на велосипедах с Москвы или Питера туда ездил?,с Москвы,Уфа,28,Россия
6150369,341597,"раньше, давненько прямо были экскурсии за 300 баксов Анталия-Израиль-Анталия, но как туда сесть с Израиля, не знаю",с Израиля,Томск,None,Россия
6258387,7552988,"[id4039432|Александр], 
Литературная норма современного русского языка: на Украине, с Украины.
«В 1993 году по требованию Правительства Украины нормативными следовало признать варианты в Украину (и соответственно из Украины). Тем самым, по мнению Правительства Украины, разрывалась не устраивающая его этимологическая связь конструкций на Украину и на окраину. Украина как бы получала лингвистическое подтверждение своего статуса суверенного государства, поскольку названия государств, а не регионов оформляются в русской традиции с помощью предлогов в (во) и из...» (Граудина Л. К., Ицкович В. А., Катлинская Л. П. Грамматическая правильность русской речи. М.: Наука, 2001. С. 69).
Однако литературная норма русского языка, согласно которой следует говорить и писать на Украине, – результат исторического развития языка на протяжении нескольких столетий. Сочетаемость предлогов в и на с определенными словами объясняется исключительно традицией. Ср.: в школе, в институте, в аптеке, в отделе, но: на заводе, на почте, на курорте, на складе и т. д. Литературная норма не может измениться в одночасье из-за каких-либо политических процессов.",с Украины,Москва,30,Россия
6541118,2521746,"[id989661|Artemy], ты шутишь чтоли, про то, что в кинотеатрах СССР показывали только советские фильмы?
Это мягко говоря неправда. Показывали и американские фильмы и французские и вообще со всего мира, и с Индии и с Англии.",с Англии,Москва,None,Россия
6570016,2221974,"КАК ЖЕ НАДОЕЛ КОНФЛИКТ УКРАИНЫ И РОССИИ! 
НАРОД, ВЫ ПОНИМАЕТЕ, ЧТО НАС СТАЛКИВАЕТ ЛБАМИ ПРАВИТЕЛЬСТВО, А МЫ ВЕДЕМСЯ! 
Жизнь и у Россиян, и у Украинцев проходят одинаково - у каждого есть семья, все мы одинаково ходим на работу, растим детей, любим своих родителей, радуемся жизни, смеемся, плачем, дружим. Я уверен, что с детства каждого из нас учили только добру, неважно откуда ты с Киева или с Москвы, в любой сказке мораль была одна, что ДОБРО побеждает ЗЛО, а Ваше втаптывание друг друга в грязь, отнюдь не то чему вас учили родители. ОДУМАЙСЯ, НАРОД! 
В СМИ Украины говорят одно, в СМИ России другое, ПРАВДУ уже днем с огнем не сыщешь, но ни один человек в здравом уме ни со стороны России, ни со стороны Украины не хочет войны. 
ДАВАЙТЕ ПЕРЕСТАНЕМ ЛИТЬ ГРЯЗЬ ДРУГ НА ДРУГА!",с Киева,Раменское,28,Россия
6835332,1983699,"[id16425155|Олеся], В Ольгино, закрыт офис, методичек нет. Чипсы Estrella с Украины вкуснятина! Рифленые!",с Украины,Санкт-Петербург,None,Россия
6966301,1895069,с Бельгии? Товарищи...,с Бельгии,Москва,28,Россия
7661506,7694890,А новость про экстремально высокое загрязнение радиоактивным элементом рутений-106 на Южном Урале? Или это незначительная новость и перейдем к новостям с Украины?,с Украины,Пермь,28,Россия
8311415,17633171,"[id227235106|Лёня], ебать ты лох, наверно ты с украины, где закончили показывать на его смерти)))",с украины,Киров,27,Россия
8506566,7486997,"[id423544194|Бодрящий], искал жене работу...Она беженка с латвии и всю жизнь в продуктовых магазинах,прошлый мэр Гатчины старался сети не пускать....Сейчас там работают""приезжие""или нанятые трудагенствами...-_натурально это рабы!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!устанавливает сеть жёсткие правила:причёски не носить,золото не надевать,ногти не делать
,сидеть в тупой шапке и говорить покупателям программу(каждому покупателю),потом переучёт,с которого из зарплаты недостачу высчитают...Я не деспот,что её туда послал,просто человек должен быть ЗАНЯТ!!!",с латвии,Санкт-Петербург,116,Россия
8796320,1817488,Если выиграет Джамала это будет последнее Евровидение которое я посмотрю. Просто не интересно. И вовсе не потому что она с Украины,с Украины,Санкт-Петербург,None,Россия
8897838,2076609,"Это выпуск ""Специального корреспондента"". Вначале речь о помиловании той ""красотки"" с Украины, о результатах ""Евровидения"" ПО ФАКТУ фильм с момента примерно 1:30:00. Очень интересно и объясняет всё.",с Украины,Ангарск,30,Россия
8936640,18029535,"Еееее это зипуля с Киева, заценивал этого персонажа несколько раз в живую",с Киева,Санкт-Петербург,23,Россия
9463485,1830145,"У меня целый альбом фоток с Украины ... С той Украины ещё, которую все ценили, уважали и с которой считались...!!! Я каждую копейку откладывала чтобы скорее вернуться в любимый Киев... 
ТОЙ ДОСТОЙНОЙ СТРАНЫ БОЛЬШЕ НЕТ
херня осталась одна где одни убивают сотни людей без повода и даже сами не знают ради чего, и где другие оставшимся людям ссут в уши что во всем виноваты кто угодно но только не вы
Только странно что тогда именно вас везде и отвергают и презирают
Позор",с Украины,Нижний Новгород,None,Россия
10299857,357887,А что уже купаться можно? Мы приехали позавчера с Грузии. Довольно прохладно было на море.,с Грузии,Тольятти,None,Россия
11149575,352788,"Коллега приехал с Японии на прошлой недели, слал кучу фотографий. 99% из них бессмысленной бытовухи.",с Японии,Ангарск,None,Россия
11803176,17774899,"[id15258296|Антон], ты реально с Польши?",с Польши,Рязань,26,Россия
11954072,2083980,"[id52959029|Виталий], я с россии и прекрасно понимаю обстановку😅 и если бы рос войска были бы на укр.. 1. Там бы пропала связь, 2. Были бы взорваны все связующие мосты. 3. До киева бы мы дошли за 3 макс 4 дня😂",с россии,Екатеринбург,28,Россия
12719937,394872,"[id3255432|Mari], да, и насчёт ""те, кто путешествуют - не герои *изначально*""... Изначально - мы все не герои. Но человек, отправившийся в одиночку автостопом с Питера в села Дагестана и Чечни или мужик, решивший на стареньком мопеде прокатиться от Питера до Владивостока, становятся героями ровно по достижении своей цели. Самое главное - героями *для себя*. Они понимают, на что они способны.
Но и они, отправляясь в путь, страхуются (один - запасными колёсами и простотой конструкции мопеда, другой - поддерживанием связи с друзьями и новыми знакомыми в Дагестане).",с Питера,Махачкала,None,Россия
13247218,344649,"Ребят, а с России в Грузию как? Заранее визу надо? Цена вопроса?",с России,Кемерово,30,Россия
13356741,18024602,"Советский велик был и велик будет, а ты проверь были ли у тебя в родне с Германии люди.
В 45 выебали Германию, а теперь их предков в МДК обоссали старания.",с Германии,Советский,None,Россия
13579425,1922810,С России если отсылать смс на какой номер?,С России,Москва,22,Россия
13707843,404362,У меня альбом с топовыми фотками с Грузии),с Грузии,Ивантеевка,24,Россия
13924255,1512170,"Интересно, сколько человек проголосует за нас (Россию) с Украины?",с Украины,Москва,None,Россия
14140541,385875,"За полгода билеты брали, с Екб 11 тысяч. Правда два года назад это было",с Екб,Екатеринбург,26,Россия
