,Unnamed: 0,from_id,id,text,miss,city,age,country,sex
0,24.0,260197808.0,7579247.0,"[id444652200|Мерин], ну если торговый путь, а особенно из Китая, идет через территорию какой либо страны, та страна становится богаче. А они, считай что предали Россию, обойдя их стороной",из Китая,Ереван,None,Армения,2
1,98.0,19288189.0,7579355.0,Один я вижу что обходная железная дорога из китая в Европу заканчивается не в китае а у моря?),из китая,Слоним,None,Беларусь,2
2,100.0,212124904.0,7579362.0,"Смешно!!))Оне б исчо конку запустили,извозчиков и тут,глядишь,и цигане-конокрады бы подтянулись!!))Вот уж нет ума-и не купишь;А из Китая и в Китай из Москвы самолеты чуть ли не каждый час летают-где уж нам эти паровозы догнать!!!))Ржака-обоссака))",из Китая,Ялта,None,Россия,1
3,192.0,150359390.0,7579640.0,"[id330944881|Marát], груз будет идти из Китая в Казахстан из Казахстана в Азербайджан и так дальше",из Китая,None,None,Россия,2
4,302.0,209782281.0,7580908.0,"Может айзеры, турки,  и китайцы сьебутся  из России.",из России,None,None,None,2
5,342.0,3624019.0,7582013.0,"Я конечно дико извиняюсь, но пропагандистская помойка Радио свобода, с которой лентач с таким усердием черпает говно, чутка ошиблась. Шелковый путь - это была всегда дорога из Китая, а уж в наше время тем более из Китая. И что бы довести товары из Китая через этот чудо путь, нужно для начала пройти еще минимум 2-3 страны в средней азии, потом переплыть каким-то раком каспийское море, а потом уже только начинается этот самые псевдо шелковый путь. Шелковый путь из России проходит только по суше и всего через 3 страны, между которыми нет границы, а тут нужно через 5-6 границ и 1-2 моря везти, у вас там как в редакции с географией все норм ? С такой логистикой нахер никому этот путь не нужен. Набирать полный рот говна с Радио свободы еще не устали ?",из Китая,Минск,31,Беларусь,2
6,362.0,261970074.0,7582602.0,"[id360413376|Дмитрий], Из Азербайджана морем до Казахстана паром возит вагоны. Дальше опять по ж/д. На локомотиве флаг Казахстана виден на видео",Из Азербайджана,Караганда,None,Казахстан,2
7,41.0,193092078.0,7577274.0,кек. тока что топ эфир был на роисе 24(из бельгии),из бельгии,Баку,None,Азербайджан,1
8,138.0,40584711.0,7577687.0,"[id77177487|Евгений], привет из Питера вашим склонениям топонимов",из Питера,Гатчина,None,Россия,2
9,81.0,177412406.0,7576674.0,Поляков выгнали из Москвы! Ура товарищи!,из Москвы,Брянск,None,Россия,2
10,128.0,135329231.0,7577970.0,Это день когда Литовцев выгнали из Москвы?,из Москвы,Zürich,None,Швейцария,2
11,19.0,449594698.0,7576214.0,Привет! Кто хочет помочь хорошим ребятам из Казахстана попасть в ВУЗ в Питере? Если не трудно можете отправить цифру 23 на номер +79037672472,из Казахстана,Рудный,None,Казахстан,2
12,83.0,449594698.0,7576216.0,Привет! Кто хочет помочь хорошим ребятам из Казахстана попасть в ВУЗ в Питере? Если не трудно можете отправить цифру 23 на номер +79037672472,из Казахстана,Рудный,None,Казахстан,2
13,310.0,30755794.0,7575648.0,"[id27969245|Йошида], мне товарищ из Белоруси рассказывал как разогнали очередь за Diablo III, когда она только стартовала.",из Белоруси,Смоленск,34,Россия,2
14,0.0,246001382.0,7574675.0,На самом деле это все хакеры из россии,из россии,Бийск,None,Россия,2
