,Unnamed: 0,from_id,id,text,miss,city,age,country,sex
0,46.0,110691242.0,7578789.0,"Пояснить за четыре пять, в чем соль цифорок? 
Просто я с Крыма,  у нас инета нормального нет",с Крыма,Киев,23,Украина,2
1,558.0,54425764.0,7577016.0,"[id200013264|Настя], нет, Я люблю справедливость, холодный расчет и холодное, вкусное пиво))) а с геями и Вовой я прям сейас готов распрощаться - откуда они? с Германии вот пусть туда и едут))))",с Германии,Хабаровск,29,Россия,2
2,268.0,143011532.0,7566492.0,"[id77951488|Рашад], жаль что ты не с Украины ((( добро зря пропадает",с Украины,Санкт-Петербург,None,Россия,2
3,302.0,18139132.0,7654663.0,"[id162364616|Igor], о самом простом. Вот определение. Как с России писали:",с России,Vancouver,39,Канада,2
4,41.0,94764619.0,7647037.0,"бля наш регион мог бы сам себя обеспечить и торговать на мировом рынке, а эти хуилы с москвы все себе забирают",с москвы,Саяногорск,None,Россия,2
5,25.0,191717405.0,7640427.0,"Чур меня! Чур! Как хорошо, что я не с России)",с России,Одесса,None,Украина,1
6,123.0,187356.0,7640714.0,"А вы зря так. Я много где бывал. А года три назад махнули мы с корешбаном на тачке с Питера на Чернобльскую АЭС посетив Киев. Уложились в 3 дня. И я вам скажу - это было круче по впечатлениям нежели 2 недели на Канарах например. Так что я б с удовольствием сгонял в СК. Вон и жена тож не против говорит, правда она думает что это что то типа Вьетнама где позагорать можно. Ахахаа",с Питера,Санкт-Петербург,33,Россия,2
7,72.0,173371630.0,7740912.0,"Мне кажется, что отменять изучение родного языка ни в коем случае нельзя. 
Моя мать переехала с России в Украину в 2 года, благодаря этому ей можно было по желанию не изучать украинский язык. Теперь она очень жалеет, что отказалась.",с России,Харьков,20,Украина,1
8,7.0,326261186.0,7738623.0,"Камикадзе не параноик? пять десять 20!8

upd. кто с казахстана, отпишитесь, есть ли такие проблемы у вас, у меня старая версия ютуба, не застаю такого",с казахстана,None,18,Казахстан,2
9,641.0,189235936.0,7740489.0,"Если поменять страну с России на Украину или любую другую страну, можно спокойно искать ролики Навального.
1 скрин - страна Россия, 2 скрин - страна Украина в общих настройках.
Может тут это уже было, но я не видел.",с России,None,None,None,1
10,144.0,38319927.0,7739743.0,"Господи. Какое же говнище-то, блять, которое рисуется за 10 минут. Сколько бы хороших вещей на эти деньги можно было сделать - помочь бедным пенсионерам, выдать премии выживающим врачам, в конце концов сделать самолётики и запустить с Москвы сити было бы лучше, чем эта хуйня.",с Москвы,Москва,None,Россия,1
11,448.0,427334606.0,7733156.0,"[id425263379|Farid], зачем человек в 2014 пишет, что он с украины, а сейчас уже пишет, что из Москвы. При том Москву ненавидит якобы, т.к там ""одни черные"".",с украины,Москва,None,Россия,2
12,74.0,146628074.0,7547606.0,"Китайцы вобще молодцы👍😏
Решили не только хрень втюхать на российские рынки, но ещё и вытянуть с России то что принадлежит РФ😏",с России,Ростов-на-Дону,None,Россия,2
13,61.0,326261186.0,7542589.0,"Що це такоэ, я ж с казахстана!?",с казахстана,None,18,Казахстан,2
14,57.0,308105863.0,7534802.0,"[id11395026|Сергей], как не учитывали ? В Крыму свой парламент , свой спикер. Все депутаты местные с Киева не кого не было.",с Киева,None,None,None,2
15,77.0,308105863.0,7534891.0,"[id11395026|Сергей], в Севастополе мера не выбирали а назначали с Киева ! Вы все перепутали . Че в Крыму не было парламента ? Был!! Гиркин кого бегал собирал по всему Крыму ? Депутатов !! И заставил проголосовать за референдум как сейчас в Каталонии.",с Киева,None,None,None,2
16,103.0,308105863.0,7535123.0,"[id11395026|Сергей], Хмельницкий подписал протекторат а не воссоединение !! На территории Крыма находился хан и сто человек охраны вот вам и вся Крымская война. Пётр и запорожцы давно выбили турок с Крыма , по договору Крым отходил казакам, этот факт был отражён Гоголям и экранизация фильма при СССР в 70-х. Севастополь до 91 года подчинялся МО СССР , Крым как обл. Украине",с Крыма,None,None,None,2
17,130.0,21500960.0,7533135.0,"[id92549558|Оксана], сам с Крыма, ходил на референдум, голосовал, видел две урны. Угадай какая была переполненной, а какая пустой",с Крыма,Москва,22,Россия,2
18,233.0,26723611.0,7532686.0,"[id54979603|Максим], ну у меня есть конкретный интерес, станет проще эмигрировать, а у тебя - нет, ты просто ненавидишь сепаратизм, сидя в Перми))

пысы я, так-то, с Кубани, но тут рядом :D",с Кубани,None,None,None,2
19,24.0,12317449.0,7530415.0,"[id201578191|Ираклий], напейсал грызун с украины
😂",с украины,None,94,None,2
