,Unnamed: 0,from_id,id,text,miss,city,age,country,sex
0,0.0,448274815.0,18141920.0,"Но хз, с Польши заказал себе кроссы за 2к гривень, которые стоят 3.400",с Польши,Zürich,26,Швейцария,2
1,1.0,46069972.0,18122574.0,"19 лет жил в Украине, потом переехал в Германию (мать немка) больше в Украине не был. И никакой любви к своей ""родине"", кроме Шахтера (футбольный клуб) для меня Украина как продажная шлюха с Румынии.",с Румынии,Berlin,None,Германия,2
2,2.0,28360830.0,18125385.0,"[id95904221|Стас], я и с украины)",с украины,Rīga,None,Латвия,2
3,3.0,115526818.0,18125431.0,Я с Украины,с Украины,Краматорск,17,Украина,2
0,0.0,332746001.0,17281221.0,"[id187448785|Данил], я как бы знаю,я с австрии живу",с австрии,Wien,None,Австрия,1
1,1.0,299319888.0,17289603.0,"Я с Украины так я в 5 уже воровал крэк у деда, который воровал его у своего папы, а тот воровал у ментов",с Украины,Нежин,17,Украина,2
2,2.0,181580088.0,17261723.0,ВСЕ ТАКИ ТЕБЯ ОТПУСТИКИ С КАЗАХСТАНА,С КАЗАХСТАНА,Москва,None,Россия,2
3,3.0,312110146.0,17256339.0,"[id287978285|Яна], Аа ну ясно. Я ведь не Русский . С Казахстана я",С Казахстана,Las Vegas,None,США,2
4,4.0,21882933.0,17266731.0,Это бакланы мутять по любому с Питера!),с Питера,Москва,112,Россия,2
5,5.0,388704531.0,17255703.0,Та нихуя это не с Турции,с Турции,Астрахань,17,Россия,2
0,0.0,272928985.0,18163194.0,"Самый четкий номер тлф: 8(911)911-11-11, жаль, что мой номер кто-то с Питера занял, но я его обязательно верну:D, а номер автомобиля 911, а 3 буквы там-заменить инициалами ""И 911 АИ"" Иванов Андрей Ильич.",с Питера,Темрюк,19,Россия,2
1,1.0,233886046.0,18171823.0,"[id395692206|Дональд], ахахах , так это у тебя 6 утра )) А у меня уже 10 часов дня ) Я так понимаю ты с Москвы ?",с Москвы,Berlin,None,Германия,2
2,2.0,55690596.0,18193678.0,Руссскме парни с питера тут есть ?,с питера,None,None,None,2
0,0.0,73049244.0,17706699.0,"Кто с Питера, погнали",с Питера,Санкт-Петербург,None,Россия,2
1,1.0,171760726.0,17703421.0,Да потому что у них нет такого количества заказов как с России!  Россия любит халяву(ну я про то что там многие вещи такого де качества которые привозят нам стоят дешевле),с России,Стерлитамак,None,Россия,1
2,2.0,225274197.0,17704248.0,"[id227080025|Дмитрий], я всегда с Германии отправляю. По Германии оно идет быстро, как только дошло до РФ оно встало... (письмо или посылка) Можно отслеживать специально",с Германии,None,None,None,1
3,3.0,60468515.0,17709037.0,"Кто все эти долбоёбы? Объясните, я с Беларуси прост",с Беларуси,Гомель,31,Беларусь,2
4,4.0,358840396.0,17690154.0,"[id36655009|Елисей], это значение не имеет с москвы я или нет, я с любой точки могу тебя назвать тупорылым селянином т.к. таковым ты и являешься. революционер хуев.",с москвы,Донецк,None,Украина,2
0,0.0,216952869.0,17569683.0,"[id86963805|Игорь], да с хуяли она улучшается? Что ты хорошего увидел? Или ты с Питера или Москвы?",с Питера,Тюмень,24,Россия,2
1,1.0,96612117.0,17582852.0,"[id242046531|Анатолий], ебать масло пытается выйграть автомобильное ,Масло карл , а ты поверил про 200к , хотя может с Белоруссии он",с Белоруссии,Волгоград,None,Россия,1
0,0.0,108892507.0,18278446.0,"Вот вы все ноет просрут просрут,а я ваще с Беларуси)",с Беларуси,None,None,Беларусь,2
1,1.0,55690596.0,18285306.0,Тут есть парни с питера?,с питера,None,None,None,2
2,2.0,254090399.0,18302170.0,я с Москвы. хата кому интересна?,с Москвы,None,None,None,2
3,3.0,441540484.0,18306638.0,"[id93339503|Vlad], в москве будешь чиркани посмотрим как запоешь,жавай хохлпятушек,сильно много трусов не пачка а то твоя мать с заработков с россии когда порванная вернеться не осилит",с россии,Москва,None,Россия,2
4,4.0,201872405.0,18309831.0,"[id382981179|Гоша], ты типа сейчас решил придраться​ к чему-то , так вот агарчу тебя я с Белорусии еблан , что ты мне не напишешь ты меня не переспориш иди слушай классику !!",с Белорусии,Нарочь,19,Беларусь,2
5,5.0,95414635.0,18300592.0,кто с минска?,с минска,Минск,None,Беларусь,2
0,0.0,93048507.0,18114870.0,"[id126257765|Александра], ок. Объясни про всех так скажем певцов, что свалили в Россию?) Да блин, у меня полно знакомых, которые приехали с Украины в Россию. А твоя стата верна, но тут суть не в том, что они сейчас бегут, а стата вообщем за все время. Такую же статистику можно увидеть и в России. Украинцев будет еще больше. Никто туда в вашу Украину не бежит. И там пол страны русских, как и украинцев в России.",с Украины,Комсомольск-на-Амуре,None,Россия,2
1,1.0,381966100.0,18103629.0,"блееааать Девки с москвы и рядом стоящих городов, нет что-ли тех кто хочет пересечься, покурить гарика, послушать хорошый музончик, перетереть за жизнь?)",с москвы,None,26,None,1
2,2.0,359814851.0,18104283.0,"[id27672106|Джефф], та я даже не с России) Харьков)",с России,Харьков,None,Украина,1
3,3.0,153023287.0,18104457.0,Девушки есть с москвы познакомиться хочеться!? А лучше сразу жену!😊😉,с москвы,Москва,25,Россия,2
4,4.0,234431443.0,18099919.0,Потому что ты еблан с россии а не с зарубежа,с россии,Архангельск,None,Россия,2
0,0.0,457297585.0,18095208.0,"Показать бы это видео тем Москвичам и с Питера, которые орут громко, что у них ветра и морозы ощущаются сильнее при их -20 как в Якутии -50. А мы в Якутии живем и тихо ждем -50. А то и больше, у меня в частном доме 3 градусника. По телеку и радио говорят, что на улице -45 понижая градус, что-бы работали дорожники и т.д. страдают конечно дети, они ждут актированный день, когда объявят -50. А на самом то деле там все -57. Приезжайте в гости в -57 у нас безветренно. Очень тепло блеать.",с Питера,None,None,None,2
1,1.0,267138070.0,18087835.0,"Валить с России надо.вы не подумайте я люблю свою страну,но жить так не годится.от патриотизма до идиотизма не так уж много...только на что б свалить никто не выпустит и никому мы там не нужны😏",с России,None,28,Россия,2
2,2.0,439437105.0,18087474.0,"[id51550786|Александр], если он с украины, то да, нахуй он им нужен. я про рашку говорю",с украины,None,None,Сент-Пьер и Микелон,2
3,3.0,457287606.0,18088284.0,Есть кто с Москвы девочки,с Москвы,Москва,22,Россия,2
4,4.0,247061216.0,18072129.0,"
В этот то раз деньгами не отделаться это не обычный начальник с Москвы😂",с Москвы,None,None,Россия,2
0,0.0,14802972.0,17412174.0,"[id225081204|Денис], с Белоруси?)Там вроде деноминация прошла)",с Белоруси,Рязань,25,Россия,2
0,0.0,27952782.0,17895660.0,"[id158466710|Микола], ты ответь на вопросы свинина ты тухлая. Это во первых) во вторых к русским не имею отношения, я с Молдавии",с Молдавии,Тирасполь,24,Молдова,2
1,1.0,433186325.0,17892092.0,я с Казахстана),с Казахстана,None,14,None,2
2,2.0,273059722.0,17892100.0,"Я с Казахстана, что за жополизание и пздешь?!?",с Казахстана,Усть-Каменогорск,29,Казахстан,2
3,3.0,74035927.0,17892161.0,"С Казахстана , с Караганды , Ваня.У меня все ...",С Казахстана,Караганда,None,Казахстан,2
