,Unnamed: 0,from_id,id,text,miss,city,age,country,sex
0,0.0,200400913.0,2805641.0,"[id8586849|Олег], то был немного другой случай и протестная группа не относилась к сознательному обществу(ой, оскорбил чувства верующих... Ах да, я с Украины - мне можно)",с Украины,Киев,18,Украина,2
1,1.0,194934378.0,2804880.0,"""Бабушку"" показывали в автобусе, когда я ехала с Киева в Харьков. Краем уха приходилось слышать эту срань. Я тогда еще удивилась, почему это меня тошнит в дороге? Никогда ж не укачивало...
Лишь посмотрев обзор, я поняла, что дело было не в качке, а в этом, так сказать, фильме. Его реально невозможно посмотреть, без позывов рвоты.",с Киева,Харьков,23,Украина,1
2,2.0,20757991.0,2802782.0,"[id367225625|Сергей], ну если коротко, то ты не напрямую подключаешься к серверу ютуба, а через узел, который находится как правило в другой стране(ну или нескольно, но обычно один) и ютуб думает, что ты не с Украины смотришь, а с другой страны. И денег за рекламу, которую пользователю показывает платит как за рекламу посмотренную из этой страны",с Украины,Киев,None,Украина,1
0,0.0,389102988.0,2518742.0,"[id141267282|Денис], http://ic.pics.livejournal.com/mihalchuk_1974/69228826/453685/453685_900.jpg 

вот фотография с Испании. Вторая половина 30ых.",с Испании,None,None,None,2
1,1.0,94645622.0,2513077.0,"[id10857315|Серёжа], причём тут жаль? самые яростные в плане зарабатывания бабла фильмы - аттракционы. а у россии кино локальное, деньги может черпать только с россии (не в курсе сколько оно зарабатывает в снг, если вообще зарабатывает).",с россии,Санкт-Петербург,27,Россия,2
0,0.0,225296560.0,2823344.0,"[id134828201|Руслан], к тому времени уже начинали многих брать и не только с Италии, тем более что значит понятие Италия, тогда ведь не было итальянцев и даже с огромным скрипом брали италиков и прочий меньший народ.",с Италии,None,22,None,2
0,0.0,67388385.0,2598128.0,"то чувство , когда ты с Украины и не можешь слушать эти трэки",с Украины,Харьков,None,Украина,2
0,0.0,23268813.0,2782013.0,"[id10817481|Марианна], сам с Крыма, не мог не посмотреть)",с Крыма,Москва,20,Россия,2
0,0.0,89446319.0,2736471.0,"[id314118|Александр], Она поймала вирус Майдаун ее к нам завезла все просто 😁С Украины нанесло вирус слегка мутировал и получил вот такую больную форму. Или она подосланная гос дэпом сша типа наша но не наша. Такую смуту сеет. Как говорят хочешь разломать страну ломать нужно по религиозному и национальному признаку у нее все получается. Наша РПЦ тоже старается чтоб все хорошо в стране было, чтоб вот такие умные люди в виде РПЦшников придумывали законы по оскорблению чувст верующих. Атеистов же нет в РОССИИ все верим во всякую херню вить так. Зачем здравый смысл и наука не нужна она чем больше дебилов тем крепче страна. 😁",С Украины,Москва,33,Россия,2
1,1.0,167501184.0,2732964.0,"[id119319947|Svyatoslav], ты верно помнишь, то с Украины было",с Украины,None,None,Украина,2
2,2.0,322198005.0,2733134.0,"[id371332683|Павел], о, ну конечно. Каждый цивилизованный европеец платит деньги группе людей в форме, которые с Москвы специально летят в Кемерово, выключают свет в квартире, ломают двери, и проводят обыск без предоставления документов. И это по статье ""Клевета"". Что они там искали? Клевету?",с Москвы,Stockholm,18,Швеция,2
0,0.0,171725006.0,2648152.0,"[id42382020|Артём], былаб отдача, был бы профицит, и они стали бы регионом донором. Кому учить тут экономику надо еще. Я не говорил что ты с украины",с украины,Казань,None,Россия,2
0,0.0,39692825.0,2700078.0,"Збс, предзаказ на магазин сделан, в понедельник с Москвы партию дисков отправляют, один из них до витрины не дойдёт)",с Москвы,Южно-Сахалинск,25,Россия,2
0,0.0,257405922.0,2552407.0,"Забавно. Фраза ""Остановите, я сойду."" уже не поможет, как и остальные крики ментальной боли, и звучит слишком заядло. А если мы дружно скинемся на киллера для тех, кто делает нечто подобное, начав с России разумеется, то оставим Комедиана без работы. Да и скучно станет. Парадокс.",с России,Мытищи,27,Россия,2
1,1.0,131817102.0,2549609.0,"[id128094891|Виталий], А ты случаем не с Белоруссии))",с Белоруссии,None,None,Россия,2
2,2.0,211396640.0,2547619.0,"[id15560080|Марсель], прочитал статью. не очень понимаю. что должно было измениться в моих взглядах, всё о чём говорилось в советах подтвердилось, так что вся политика советв, была более, чем правильной. Дудь задаёт вопросы в стиле, а вот в Америке было круто, а вы там были, а вас это не смущало. на что ему отвечают, что и у нас было неплохо...Чо в том, что в интервью с Евгеном, Дудь интелегентно(ну он же нне быдло), пытается обгадить советы и все адекватные люди ему отвечают так, что обгадить не получается.В чём тут его заслуга? И что должно было измениться? И да, я сам родился на Украине и по материнской линии вся родня с Украины.",с Украины,Москва,25,Россия,2
0,0.0,202770777.0,2664459.0,"[id135477331|Алексей], Да задачи НЕНУЖНОЙ финской выполнили при соотношении сил и потерь 3 к одному. Я бы назвал это всосать. 
И уж извини ном про курскую я все взял из обще доступных советских источников там цифра в цифру все так как я сказал. так что лучше сам гугли. И ты это не дергай наши ЦР проебалим с приличной часть армии. А зерг раши были уже начиная с москвы и дальше.И к слову 700 против 500 это даже меньше 1:1.6 (хотя выражать потери разного рода войск одной цифрой это слегка добоебызми но ладно) так что мои данные даже слегка правдивей курская больше известна нашей танковой победой ток вот как раз там танки массой и давили и на это есть объективные причины. немецкие тигры рвали все кв 1 и более устаревшие танки в хлам а 34-85 еще не придумали а исы еще токо прототипами в КБ катались и на конвеере еще не стояли.",с москвы,Владивосток,21,Россия,2
0,0.0,193290694.0,2493996.0,"[id340161455|Евгений], я с Украины)",с Украины,Львов,None,Украина,2
1,1.0,200526395.0,2508952.0,Атмосферные ребчта с России,с России,Сальск,19,Россия,2
0,0.0,158408799.0,2527227.0,"[id51528088|Дмитрий], да
Хоть разработчики с Польши (что немного сбивает с толку)",с Польши,Подольск / Котовск,None,Украина,2
1,1.0,6541118.0,2521746.0,"[id989661|Artemy], ты шутишь чтоли, про то, что в кинотеатрах СССР показывали только советские фильмы?
Это мягко говоря неправда. Показывали и американские фильмы и французские и вообще со всего мира, и с Индии и с Англии.",с Англии,Москва,None,Россия,2
