from_id,comment_id,text,from_expression,city,age,country,sex
448274815.0,18141920.0,"Но хз, с Польши заказал себе кроссы за 2к гривень, которые стоят 3.400",с Польши,Zürich,26,Швейцария,2
46069972.0,18122574.0,"19 лет жил в Украине, потом переехал в Германию (мать немка) больше в Украине не был. И никакой любви к своей ""родине"", кроме Шахтера (футбольный клуб) для меня Украина как продажная шлюха с Румынии.",с Румынии,Berlin,None,Германия,2
28360830.0,18125385.0,"[id95904221|Стас], я и с украины)",с украины,Rīga,None,Латвия,2
115526818.0,18125431.0,Я с Украины,с Украины,Краматорск,17,Украина,2
332746001.0,17281221.0,"[id187448785|Данил], я как бы знаю,я с австрии живу",с австрии,Wien,None,Австрия,1
299319888.0,17289603.0,"Я с Украины так я в 5 уже воровал крэк у деда, который воровал его у своего папы, а тот воровал у ментов",с Украины,Нежин,17,Украина,2
181580088.0,17261723.0,ВСЕ ТАКИ ТЕБЯ ОТПУСТИКИ С КАЗАХСТАНА,С КАЗАХСТАНА,Москва,None,Россия,2
312110146.0,17256339.0,"[id287978285|Яна], Аа ну ясно. Я ведь не Русский . С Казахстана я",С Казахстана,Las Vegas,None,США,2
21882933.0,17266731.0,Это бакланы мутять по любому с Питера!),с Питера,Москва,112,Россия,2
388704531.0,17255703.0,Та нихуя это не с Турции,с Турции,Астрахань,17,Россия,2
272928985.0,18163194.0,"Самый четкий номер тлф: 8(911)911-11-11, жаль, что мой номер кто-то с Питера занял, но я его обязательно верну:D, а номер автомобиля 911, а 3 буквы там-заменить инициалами ""И 911 АИ"" Иванов Андрей Ильич.",с Питера,Темрюк,19,Россия,2
233886046.0,18171823.0,"[id395692206|Дональд], ахахах , так это у тебя 6 утра )) А у меня уже 10 часов дня ) Я так понимаю ты с Москвы ?",с Москвы,Berlin,None,Германия,2
55690596.0,18193678.0,Руссскме парни с питера тут есть ?,с питера,None,None,None,2
73049244.0,17706699.0,"Кто с Питера, погнали",с Питера,Санкт-Петербург,None,Россия,2
171760726.0,17703421.0,Да потому что у них нет такого количества заказов как с России!  Россия любит халяву(ну я про то что там многие вещи такого де качества которые привозят нам стоят дешевле),с России,Стерлитамак,None,Россия,1
225274197.0,17704248.0,"[id227080025|Дмитрий], я всегда с Германии отправляю. По Германии оно идет быстро, как только дошло до РФ оно встало... (письмо или посылка) Можно отслеживать специально",с Германии,None,None,None,1
60468515.0,17709037.0,"Кто все эти долбоёбы? Объясните, я с Беларуси прост",с Беларуси,Гомель,31,Беларусь,2
358840396.0,17690154.0,"[id36655009|Елисей], это значение не имеет с москвы я или нет, я с любой точки могу тебя назвать тупорылым селянином т.к. таковым ты и являешься. революционер хуев.",с москвы,Донецк,None,Украина,2
216952869.0,17569683.0,"[id86963805|Игорь], да с хуяли она улучшается? Что ты хорошего увидел? Или ты с Питера или Москвы?",с Питера,Тюмень,24,Россия,2
96612117.0,17582852.0,"[id242046531|Анатолий], ебать масло пытается выйграть автомобильное ,Масло карл , а ты поверил про 200к , хотя может с Белоруссии он",с Белоруссии,Волгоград,None,Россия,1
108892507.0,18278446.0,"Вот вы все ноет просрут просрут,а я ваще с Беларуси)",с Беларуси,None,None,Беларусь,2
55690596.0,18285306.0,Тут есть парни с питера?,с питера,None,None,None,2
254090399.0,18302170.0,я с Москвы. хата кому интересна?,с Москвы,None,None,None,2
441540484.0,18306638.0,"[id93339503|Vlad], в москве будешь чиркани посмотрим как запоешь,жавай хохлпятушек,сильно много трусов не пачка а то твоя мать с заработков с россии когда порванная вернеться не осилит",с россии,Москва,None,Россия,2
201872405.0,18309831.0,"[id382981179|Гоша], ты типа сейчас решил придраться​ к чему-то , так вот агарчу тебя я с Белорусии еблан , что ты мне не напишешь ты меня не переспориш иди слушай классику !!",с Белорусии,Нарочь,19,Беларусь,2
95414635.0,18300592.0,кто с минска?,с минска,Минск,None,Беларусь,2
93048507.0,18114870.0,"[id126257765|Александра], ок. Объясни про всех так скажем певцов, что свалили в Россию?) Да блин, у меня полно знакомых, которые приехали с Украины в Россию. А твоя стата верна, но тут суть не в том, что они сейчас бегут, а стата вообщем за все время. Такую же статистику можно увидеть и в России. Украинцев будет еще больше. Никто туда в вашу Украину не бежит. И там пол страны русских, как и украинцев в России.",с Украины,Комсомольск-на-Амуре,None,Россия,2
381966100.0,18103629.0,"блееааать Девки с москвы и рядом стоящих городов, нет что-ли тех кто хочет пересечься, покурить гарика, послушать хорошый музончик, перетереть за жизнь?)",с москвы,None,26,None,1
359814851.0,18104283.0,"[id27672106|Джефф], та я даже не с России) Харьков)",с России,Харьков,None,Украина,1
153023287.0,18104457.0,Девушки есть с москвы познакомиться хочеться!? А лучше сразу жену!😊😉,с москвы,Москва,25,Россия,2
234431443.0,18099919.0,Потому что ты еблан с россии а не с зарубежа,с россии,Архангельск,None,Россия,2
457297585.0,18095208.0,"Показать бы это видео тем Москвичам и с Питера, которые орут громко, что у них ветра и морозы ощущаются сильнее при их -20 как в Якутии -50. А мы в Якутии живем и тихо ждем -50. А то и больше, у меня в частном доме 3 градусника. По телеку и радио говорят, что на улице -45 понижая градус, что-бы работали дорожники и т.д. страдают конечно дети, они ждут актированный день, когда объявят -50. А на самом то деле там все -57. Приезжайте в гости в -57 у нас безветренно. Очень тепло блеать.",с Питера,None,None,None,2
267138070.0,18087835.0,"Валить с России надо.вы не подумайте я люблю свою страну,но жить так не годится.от патриотизма до идиотизма не так уж много...только на что б свалить никто не выпустит и никому мы там не нужны😏",с России,None,28,Россия,2
439437105.0,18087474.0,"[id51550786|Александр], если он с украины, то да, нахуй он им нужен. я про рашку говорю",с украины,None,None,Сент-Пьер и Микелон,2
457287606.0,18088284.0,Есть кто с Москвы девочки,с Москвы,Москва,22,Россия,2
247061216.0,18072129.0,"
В этот то раз деньгами не отделаться это не обычный начальник с Москвы😂",с Москвы,None,None,Россия,2
14802972.0,17412174.0,"[id225081204|Денис], с Белоруси?)Там вроде деноминация прошла)",с Белоруси,Рязань,25,Россия,2
27952782.0,17895660.0,"[id158466710|Микола], ты ответь на вопросы свинина ты тухлая. Это во первых) во вторых к русским не имею отношения, я с Молдавии",с Молдавии,Тирасполь,24,Молдова,2
433186325.0,17892092.0,я с Казахстана),с Казахстана,None,14,None,2
273059722.0,17892100.0,"Я с Казахстана, что за жополизание и пздешь?!?",с Казахстана,Усть-Каменогорск,29,Казахстан,2
74035927.0,17892161.0,"С Казахстана , с Караганды , Ваня.У меня все ...",С Казахстана,Караганда,None,Казахстан,2
105881348.0,17892165.0,"В школьные годы со мной в одном классе учился парниша переехавший с Казахстана. На вопрос почему от туда чухнули, он ответил, что после развала СССР, там начали русских вырезать.",с Казахстана,Смоленск,None,Россия,2
217215945.0,17892298.0,"[id84308907|Евгений], с Казахстана не едут жто с других стран вроде кыргызстана, узбекистана,таджикистана и т.д. казахов гастарбайтеров в россии очень мало",с Казахстана,Санкт-Петербург,None,Россия,2
105881348.0,17892347.0,"[id240482529|Талаптан], не было? Я написал, что когда учился, мне товарищ рассказывал, что они чухнули с Казахстана из-за того, что сразу после развала СССР там начали вырезать русских.

Ты мне говоришь, что этого не было? Да я с ним отучился с 5 по 11 класс, ты мне говоришь что этого не было, да откуда тебе знать? Я школу закончил, когда тебе и 5 лет не было.",с Казахстана,Смоленск,None,Россия,2
62356503.0,17892561.0,Кто с Казахстана лайк),с Казахстана,Москва,None,Россия,2
449864693.0,17892806.0,"То-то куча русских уехали от туда. Это в России всем места хватает, а в Казахстане эти 6 человек на кв км попросят свалить. У нас много русских с Казахстана и чёт ехали они сюда не от хорошей жизни. В Казахстане можно отдыхать, но не жить. Как Назарбаев в ящик сыграет, то вообще хз чё будет. Если даже в республиках в составе России не очень всё хорошо по межнационалке, то что уж говорить о Казахстане.",с Казахстана,Ялуторовск,30,Россия,2
281073455.0,17892867.0,Я с Казахстана,с Казахстана,None,None,None,2
439437105.0,17893510.0,"[id237769556|Евгения], Ты с Казахстана?",с Казахстана,None,None,Сент-Пьер и Микелон,2
237769556.0,17893673.0,"[id439437105|Александр], Да я с Казахстана.",с Казахстана,Praha,20,Чехия,1
210927790.0,17893781.0,"Я с Казахстана,и я хочу умереть(",с Казахстана,None,None,Гондурас,2
441582319.0,17894013.0,"То чувство, когда администраторы поменялись и теперь они с Казахстана",с Казахстана,Оренбург,28,Россия,2
94269626.0,17894651.0,Я с Казахстана)и я Русский,с Казахстана,Павлодар,23,Казахстан,2
270492884.0,17899881.0,"[id6904008|Ефим], детская травма? К тебя видимо бросили. Кто то с Казахстана",с Казахстана,Астана,33,Казахстан,2
216074274.0,17902028.0,Салам с Казахстана,с Казахстана,Атырау,None,Казахстан,2
335559108.0,17904418.0,"[id376430471|Андрей], я сам с России, казахский не знаю. Хотя сам казах. Был только в северных городах. Астана, Актюбинске и в Уральске. Все на русском разговаривают. Особенно в Уральске. Наверно потому что русско-язычного населения больше. Во всем Казахстане русских и казахов где-то 50/50.",с России,Оренбург,27,Россия,2
449880017.0,17932523.0,Я с Казахстана  казашка  с Алматы и я думаю причем тут Казахстан  люди сами решают где жить куда уехать это не  зависит  от родины я например хочу свалить в Россию мне нравится  Москва и против ничего не имею я просто не могу понять зачем просто тут сидеть ребята и друг друга материть ну и нафиг  ребята давайте жить дружно каждая страна по своему красивая и прекрасная,с Казахстана,Алматы,None,Казахстан,1
273557123.0,17895043.0,Я отношусь к тому что надо валить с России,с России,Мурманск,116,Россия,2
66194922.0,17888336.0,"[id244221975|Прасковья], а черт, ты же с Украины",с Украины,Москва,None,Россия,2
424014739.0,17888203.0,"[id357409437|Николай], прислали с Молдавии вина 😜😋",с Молдавии,None,26,None,2
228392188.0,17493629.0,"[id286907287|Александр], сейчас многие рофлят с этого, но я с Украины😉",с Украины,Berlin,19,Германия,2
150351110.0,17484953.0,"Хорошо что уехал с Украины, ПОЗОРИЩЕ А НЕ СТРАНА",с Украины,Рязань,25,Россия,2
299413210.0,17488093.0,Когда ты с киева и вообще похуй,с киева,Киев,23,Украина,2
331023114.0,17498838.0,"[id429705535|Роман], у тебя мозги вообще на бекрень.
Почитай книжек что-ли, узнай кто такой Махно и что с ним сделала красная падаль в лице большевиков. Ты даже начало айзберга не видишь, а уже лезешь в споры.
Малой, я старше тебя лет на 5-6 точно, у меня к тебе никакой ненависти - мне тебя жаль. Если реально интересно, почитай о Махно, узнай за что боролись анархисты, узнай как своих же ребят красная падаль убивала и как они делали революцию за бабки с германии.",с германии,Саратов,None,Россия,2
372735006.0,17465829.0,"[id154537035|Андрей], Чел я с казахстана, я могу говорить как на твоем языке так и на нашем) кто тупее тот кто знает 2 языка или тот кто исправляет подчеркнутое на родном языке?) А ты не огорчайся и не ной, что все праздники один, может ты и один потому что такой нытик)",с казахстана,None,25,None,2
116761305.0,17847157.0,самое ржачное в этом моменте что судья чурка)) Хотя с Украины кричат про Масквобад)🤣🤣🤣😄,с Украины,Одесса,27,Украина,2
259156875.0,17841569.0,"[id244673834|Tyrikvednbiu], 😆🤦🏻‍♂️ я с Казахстана но после твоего коммента к кумысу не притронусь )",с Казахстана,Узынагаш,16,Казахстан,2
284198214.0,17842129.0,"Я с Казахстана и кумыс действительно полезный напиток чем водка,пиво и т.д!",с Казахстана,Усть-Каменогорск,None,Казахстан,2
124515550.0,17884913.0,"[id308586740|Михаил], я с беларуси)",с беларуси,Пинск,24,Беларусь,2
278897450.0,17834739.0,Познакомлюсь с девушкой с Украины,с Украины,None,None,Россия,2
381349881.0,17828481.0,"[id447736494|Антон], ""не пизди""... Вахаха....великий российский диалект. Культура аж прёт. Вы не с Питера случайно??))",с Питера,Кривой Рог,None,Украина,2
169090907.0,17793122.0,Хто там с Беларуси?,с Беларуси,Карачев,107,Россия,1
55074321.0,17795468.0,"И вобще,  советую ливерку с печенью с беларуси, ona goog",с беларуси,Полоцк,26,Беларусь,2
216415170.0,17520276.0,"[id139490938|Павел], ясно, ты же с Украины",с Украины,Кировск,None,Россия,2
152845720.0,17513364.0,что за реклама?я просто с украины),с украины,Николаев,None,Украина,2
219045731.0,17292270.0,"[id289546025|Никита], мнe похуй я с Украины ебло,согласен   он дохуя сделал в СССР но это человек которому было похуй на людей, он убивал всех подряд ,хотя у вас там же пропаганда забей не поймешь",с Украины,Житомир,17,Украина,2
454524108.0,17983296.0,"[id8640083|Илья], прокурорская манда с крыма, которая под путина легла",с крыма,Санкт-Петербург,None,Россия,2
418139208.0,17761246.0,"[id86608685|Марина], тварь ХеРналова то же не давала приказов убивать людей. Но из-за её лжи, как минимум один юноша с Питера поехал воевать за ""распятого мальчика"" и погиб там. Сколько успел убить не знаю. Надеюсь ни одного. Не надо быть политиком, чтобы отправить человека, людей на смерть. Вот издохшая от рака мразь и была такой мразью - разжигающей ненависть, убивающая людей.",с Питера,None,23,Россия,2
